video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,high kick,152,0.14190071821212769,unknown,-1,throwing discus,358,0.19546183943748474,0.058430518954992294,28.143088906011577,0.5885446307941378,99.71752030183404,0.3432476818561554,75.073877,0.40686917304992676,0,2
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,drinking shots,102,0.13912801444530487,unknown,-1,headbutting,150,0.13428238034248352,0.001422046683728695,27.755354116538015,0.7523116713700947,109.02973316547543,0.2931864857673645,78.064505,0.30878567695617676,0,2
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming butterfly stroke,341,0.3602375090122223,unknown,-1,swimming backstroke,339,0.17754192650318146,0.14977753162384033,27.578832211483615,0.8146090186120202,113.55261491976596,0.183804452419281,61.901029,0.3026432991027832,0,2
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.293928325176239,unknown,-1,parkour,207,0.13989830017089844,0.11635301262140274,27.421895574842647,0.6738241489499049,117.73099199710511,0.3199591338634491,80.885421,5.335862398147583,14,241
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,blasting sand,23,0.9852519631385803,unknown,-1,plastering,216,0.4274361729621887,0.410852313041687,27.387645629539684,0.5871114393791294,118.66312953361674,0.3951914310455322,55.30075,4.5364696979522705,12,207
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,ice skating,164,0.28093913197517395,unknown,-1,playing ice hockey,235,0.2830144762992859,0.10849176347255707,27.884593416513766,0.5930956827933559,105.83297859602139,0.39127853512763977,87.756365,0.08481717109680176,0,2
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,rock climbing,278,0.581240177154541,unknown,-1,abseiling,0,0.4447544813156128,0.4338512718677521,27.1966301296527,0.7103968448267511,123.99876162943214,0.2746303677558899,71.491202,6.166868448257446,14,241
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,dancing charleston,85,0.2492615431547165,unknown,-1,cartwheeling,45,0.19593776762485504,0.04627891257405281,28.451633827997785,0.6922482055041873,92.87888178353812,0.16473519802093506,72.297682,0.2967722415924072,0,2
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,sword fighting,345,0.2548321783542633,unknown,-1,reading book,264,0.12858740985393524,0.09349375218153,27.537174592310766,0.7910965641823564,114.64705457271371,0.21890397369861603,83.708796,0.519780158996582,0,5
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,cutting nails,81,0.934671938419342,unknown,-1,petting cat,213,0.4231293797492981,0.42311179637908936,28.20254937052697,0.6897933325008558,98.36156358906544,0.3026388883590698,66.751395,2.816612720489502,2,36
