video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,giving or receiving award,140,0.23263950645923615,unknown,-1,giving or receiving award,140,0.22342756390571594,0.22342756390571594,45.61236210625859,0.968832225978996,1.785846595708846,0.023334000259637833,99.954472,2.3202197551727295,2,8
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,drinking beer,101,0.6216570734977722,unknown,-1,drinking beer,101,0.5758495926856995,0.5758495926856995,38.58258800230259,0.896521801379988,9.0120078352486,0.04439283907413483,99.94776,2145.3920691013336,200,13002
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming butterfly stroke,341,0.840690016746521,unknown,-1,swimming butterfly stroke,341,0.7941358089447021,0.7941358089447021,38.33692152983432,0.9310483764489774,9.536482318340337,0.010572289116680622,99.883823,2145.5661606788635,200,13002
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.482329398393631,unknown,-1,running on treadmill,281,0.8530910015106201,0.8530910015106201,36.549064885448786,0.8978004749419434,14.393747249633073,0.06487555056810379,99.922799,1976.0314247608185,200,13002
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,blasting sand,23,0.9993050694465637,unknown,-1,blasting sand,23,0.8802098631858826,0.8802098631858826,38.525811015081175,0.9185534461524403,9.130598781713106,0.07011450827121735,86.345475,1980.1357038021088,200,13002
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,hockey stop,154,0.36252257227897644,unknown,-1,ice skating,164,0.32935231924057007,0.3201349973678589,40.94259072948518,0.9457712951937414,5.233850194501764,0.08227753639221191,98.323803,17.979614973068237,6,114
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,diving cliff,93,0.46289148926734924,unknown,-1,diving cliff,93,0.5324955582618713,0.5324955582618713,38.477530226982985,0.9458446577743617,9.232670534938343,0.02845849096775055,99.830001,1990.75630569458,200,13002
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,belly dancing,18,0.4558901786804199,unknown,-1,belly dancing,18,0.5274887681007385,0.5274887681007385,38.25348521993512,0.7716750305781692,9.721467729670824,0.013300130143761635,99.596511,2147.327493906021,200,13002
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,opening present,204,0.37163612246513367,unknown,-1,opening present,204,0.3909405767917633,0.3909405767917633,38.40567336723653,0.9122384361208902,9.386701862183813,0.025731196627020836,99.945654,2145.873653650284,200,13002
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,cutting nails,81,0.6702460050582886,unknown,-1,cutting nails,81,0.6668723821640015,0.6668723821640015,38.76721147390517,0.8964905977335353,8.636926295114892,0.0533648356795311,99.915928,2145.714512348175,200,13002
