video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,giving or receiving award,140,0.19618970155715942,surfing crowd,336,surfing crowd,336,0.3113906681537628,0.20863454043865204,33.27119272657343,0.7626168467310517,30.61689101080247,0.26347416639328003,95.974577,27.407127618789673,20,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,drinking beer,101,0.6480217576026917,passing American football (in game),208,drinking beer,101,0.6336002945899963,0.6396874189376831,inf,1.0,0.0,0.0005636217538267374,99.967845,25.349460124969482,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming butterfly stroke,341,0.8385510444641113,abseiling,0,swimming butterfly stroke,341,0.828701376914978,0.7982181310653687,inf,1.0,0.0,0.0002802597009576857,99.96784,25.03241801261902,20,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.6863788962364197,balloon blowing,12,running on treadmill,281,0.5996454954147339,0.5511592030525208,inf,1.0,0.0,0.0014278077287599444,99.967854,24.432974576950073,20,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,blasting sand,23,0.9998847842216492,cheerleading,55,blasting sand,23,0.9964667558670044,0.9983452558517456,inf,1.0,0.0,0.0024963372852653265,88.25049,24.228173971176147,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,hockey stop,154,0.3562067151069641,opening present,204,hockey stop,154,0.3851798474788666,0.35609596967697144,inf,1.0,0.0,0.0035967635922133923,98.561488,24.537667274475098,20,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,diving cliff,93,0.4016871452331543,gargling,137,diving cliff,93,0.4548927843570709,0.5084325075149536,inf,1.0,0.0,0.0006558251916430891,99.967852,24.330389261245728,20,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,belly dancing,18,0.4496280252933502,abseiling,0,belly dancing,18,0.5205544829368591,0.4591364860534668,inf,1.0,0.0,0.00012434975360520184,99.967839,25.142463445663452,20,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,opening present,204,0.4298158288002014,throwing discus,358,opening present,204,0.46675819158554077,0.43154019117355347,inf,1.0,0.0,0.00034901214530691504,99.967848,25.09871196746826,20,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,cutting nails,81,0.6962808966636658,hurdling,160,cutting nails,81,0.6825416088104248,0.7209368348121643,inf,1.0,0.0,0.0006237959023565054,99.967848,25.081058979034424,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Nj3XmZ7YBM_000107_000117.mp4,changing oil,52,changing oil,52,0.7333077788352966,tai chi,346,changing oil,52,0.722029447555542,0.7327913045883179,inf,1.0,0.0,0.0004271259531378746,99.94267,25.022541046142578,20,0
/work/data/kinetics400/k400_test/k400_test/test/-pBiJnwK2oc_000050_000060.mp4,cleaning toilet,64,cleaning toilet,64,1.0,triple jump,367,cleaning toilet,64,1.0,1.0,inf,1.0,0.0,0.0004950150614604354,99.949385,25.192030429840088,20,0
/work/data/kinetics400/k400_test/k400_test/test/-08En2aQklI_000233_000243.mp4,building cabinet,38,building cabinet,38,0.39764419198036194,throwing discus,358,building cabinet,38,0.41757655143737793,0.5765641331672668,inf,1.0,0.0,0.00023914624762255698,99.9577,24.944968223571777,20,0
/work/data/kinetics400/k400_test/k400_test/test/-IHwhSActzk_000030_000040.mp4,juggling fire,170,juggling fire,170,0.8002831935882568,shaking head,289,juggling fire,170,0.8000035881996155,0.8777071833610535,inf,1.0,0.0,0.0005291569395922124,99.967846,25.08340096473694,20,0
/work/data/kinetics400/k400_test/k400_test/test/0nE03ePMHI8_000029_000039.mp4,playing clarinet,225,playing trombone,247,0.2662152349948883,hammer throw,148,playing trombone,247,0.315630704164505,0.3728567361831665,inf,1.0,0.0,0.00023155116650741547,99.96785,25.070778846740723,20,0
/work/data/kinetics400/k400_test/k400_test/test/-8Appls4ZFg_000236_000246.mp4,making pizza,188,making pizza,188,0.767831563949585,cartwheeling,45,making pizza,188,0.7858903408050537,0.8809970617294312,inf,1.0,0.0,0.0004655469674617052,99.967852,24.037131547927856,20,0
/work/data/kinetics400/k400_test/k400_test/test/-0tnFi1az8k_000014_000024.mp4,bench pressing,19,bench pressing,19,1.0,abseiling,0,bench pressing,19,1.0,1.0,inf,1.0,0.0,0.0002839310036506504,99.967851,25.05045247077942,20,0
/work/data/kinetics400/k400_test/k400_test/test/-ek3zFzo560_000537_000547.mp4,answering questions,2,arranging flowers,7,0.5952707529067993,opening present,204,opening present,204,0.41657543182373047,0.5987950563430786,32.15852331800492,0.6423024357951606,39.55742643229166,0.2853749096393585,86.163688,23.92278289794922,20,0
/work/data/kinetics400/k400_test/k400_test/test/-zWLKc6CjTY_000056_000066.mp4,riding unicycle,275,riding unicycle,275,0.6683593988418579,clay pottery making,58,riding unicycle,275,0.6815033555030823,0.6474823355674744,inf,1.0,0.0,0.002106823492795229,99.91214,24.430232763290405,20,0
/work/data/kinetics400/k400_test/k400_test/test/0DqjuG09Xls_000122_000132.mp4,testifying,354,testifying,354,0.9999990463256836,diving cliff,93,testifying,354,0.9999960064888,0.9999954104423523,inf,1.0,0.0,0.0011014675255864859,98.372629,24.311604261398315,20,0
/work/data/kinetics400/k400_test/k400_test/test/0LGDPVwWMhg_000009_000019.mp4,swing dancing,342,cheerleading,55,0.45878851413726807,applying cream,4,cheerleading,55,0.45718464255332947,0.3691508173942566,inf,1.0,0.0,0.0002636351273395121,99.967851,25.24070906639099,20,0
/work/data/kinetics400/k400_test/k400_test/test/-pyFr1WZPbM_000032_000042.mp4,cutting watermelon,83,cutting watermelon,83,0.766666829586029,abseiling,0,cutting watermelon,83,0.7754388451576233,0.7666670680046082,inf,1.0,0.0,0.0004231276107020676,99.967846,24.949088096618652,20,0
/work/data/kinetics400/k400_test/k400_test/test/1yYHLBmC3f4_000003_000013.mp4,climbing a rope,66,bungee jumping,40,0.356184720993042,passing American football (in game),208,bungee jumping,40,0.3035106360912323,0.33569055795669556,inf,1.0,0.0,0.0012913573300465941,99.967853,24.457054615020752,20,0
/work/data/kinetics400/k400_test/k400_test/test/0GesW7F0eN8_000011_000021.mp4,pushing wheelchair,263,pushing wheelchair,263,0.9206803441047668,playing kickball,237,pushing wheelchair,263,0.706882119178772,0.8349742889404297,inf,1.0,0.0,0.001448888098821044,99.967846,24.189513206481934,20,0
/work/data/kinetics400/k400_test/k400_test/test/-dhP2AH0eqI_000141_000151.mp4,checking tires,54,checking tires,54,0.9569900035858154,doing aerobics,95,checking tires,54,0.9333926439285278,0.9335174560546875,inf,1.0,0.0,0.0006376564269885421,99.96785,25.00193500518799,20,0
/work/data/kinetics400/k400_test/k400_test/test/14Z2DC05cIg_000019_000029.mp4,playing kickball,237,throwing discus,358,0.2803895175457001,baby waking up,10,throwing discus,358,0.2799755930900574,0.3042106330394745,inf,1.0,0.0,0.00044514593901112676,99.967847,25.124969720840454,20,0
/work/data/kinetics400/k400_test/k400_test/test/1DzvlrKhmZI_000002_000012.mp4,shaking head,289,news anchoring,202,0.9997172355651855,krumping,179,news anchoring,202,0.9910831451416016,0.9934738874435425,inf,1.0,0.0,0.0015284476103261113,98.670833,24.25858235359192,20,0
/work/data/kinetics400/k400_test/k400_test/test/2UFYQtLCPZ8_000136_000146.mp4,massaging person's head,196,archery,5,0.39913591742515564,walking the dog,378,archery,5,0.33600670099258423,0.36538437008857727,inf,1.0,0.0,0.00012938916916027665,99.967851,25.256571292877197,20,0
/work/data/kinetics400/k400_test/k400_test/test/1LWUlv7twOg_000057_000067.mp4,answering questions,2,writing,396,0.6653488278388977,crossing river,78,writing,396,0.6622687578201294,0.7257814407348633,inf,1.0,0.0,0.0005136255058459938,98.749262,23.651610374450684,20,0
/work/data/kinetics400/k400_test/k400_test/test/0YhNlD9Z5pw_000016_000026.mp4,shaking head,289,changing oil,52,0.5845192074775696,clapping,57,changing oil,52,0.6521023511886597,0.5545607805252075,inf,1.0,0.0,0.0018242474179714918,99.967849,23.363925218582153,20,0
/work/data/kinetics400/k400_test/k400_test/test/0hu29nUZELQ_000001_000011.mp4,mowing lawn,201,stomping grapes,332,0.23508404195308685,braiding hair,32,climbing tree,68,0.314723938703537,0.22194968163967133,inf,1.0,0.0,0.000587248126976192,99.967857,23.96735453605652,20,0
/work/data/kinetics400/k400_test/k400_test/test/11xzcHo4Ts8_000000_000010.mp4,tickling,359,blowing glass,24,0.6517798900604248,air drumming,1,blowing glass,24,0.704723596572876,0.80686354637146,inf,1.0,0.0,0.0007562802638858557,99.967852,24.5800678730011,20,0
/work/data/kinetics400/k400_test/k400_test/test/0vJAFezLPhI_000021_000031.mp4,snowmobiling,324,snowmobiling,324,0.8653827905654907,waxing back,386,snowmobiling,324,0.864255964756012,0.8654419779777527,inf,1.0,0.0,0.0006748675368726254,99.967852,25.13362407684326,20,0
/work/data/kinetics400/k400_test/k400_test/test/0ygbcm02tLs_000002_000012.mp4,playing organ,239,playing organ,239,1.0,playing kickball,237,playing organ,239,1.0,1.0,inf,1.0,0.0,0.000967467378359288,99.967851,24.380383253097534,20,0
/work/data/kinetics400/k400_test/k400_test/test/-wwCJVLbKFI_000108_000118.mp4,bending back,20,yoga,398,0.4055367708206177,cutting nails,81,yoga,398,0.58792644739151,0.5073921084403992,inf,1.0,0.0,0.0003412534133531153,99.471291,23.126075267791748,20,0
/work/data/kinetics400/k400_test/k400_test/test/-74c73MiIes_001409_001419.mp4,assembling computer,8,assembling computer,8,1.0,tai chi,346,assembling computer,8,1.0,1.0,inf,1.0,0.0,0.0003118795866612345,99.467224,24.03319549560547,20,0
/work/data/kinetics400/k400_test/k400_test/test/-YtHps-n5Ks_000002_000012.mp4,passing American football (in game),208,kicking field goal,174,1.0,abseiling,0,kicking field goal,174,1.0,1.0,inf,1.0,0.0,0.0010312822414562106,99.967846,24.31785297393799,20,0
/work/data/kinetics400/k400_test/k400_test/test/0IYbQ2DUi3o_000000_000010.mp4,tobogganing,360,tobogganing,360,0.5517928004264832,air drumming,1,tobogganing,360,0.5705275535583496,0.5180063247680664,inf,1.0,0.0,0.0009509035153314471,99.967847,25.063965559005737,20,0
/work/data/kinetics400/k400_test/k400_test/test/-CQ6GzkHHPo_000012_000022.mp4,sharpening pencil,291,sharpening pencil,291,0.7023156881332397,riding mule,272,sharpening pencil,291,0.5006766319274902,0.7037049531936646,33.67641691733619,0.8010258352560106,27.889367761682582,0.18641026318073273,92.110509,24.974770307540894,20,0
/work/data/kinetics400/k400_test/k400_test/test/1Qd6SEAhmvM_000068_000078.mp4,making sushi,190,making sushi,190,1.0,abseiling,0,making sushi,190,1.0,1.0,inf,1.0,0.0,0.0003956348227802664,99.96785,25.050565719604492,20,0
/work/data/kinetics400/k400_test/k400_test/test/1e0ss2JoJwY_000003_000013.mp4,trapezing,364,welding,391,1.0,air drumming,1,welding,391,1.0,1.0,inf,1.0,0.0,0.0002710157132241875,99.967847,24.95624876022339,20,0
/work/data/kinetics400/k400_test/k400_test/test/-5xauLfWsto_000030_000040.mp4,squat,330,hammer throw,148,0.4269481301307678,playing recorder,243,hammer throw,148,0.4538368880748749,0.46070539951324463,inf,1.0,0.0,0.00042070713243447244,99.967854,24.44652485847473,20,0
/work/data/kinetics400/k400_test/k400_test/test/25Hy3xB1PGE_000013_000023.mp4,pole vault,253,canoeing or kayaking,42,0.5148164629936218,answering questions,2,canoeing or kayaking,42,0.3447207808494568,0.3763871490955353,inf,1.0,0.0,0.0009129816899076104,99.967854,24.44282627105713,20,0
/work/data/kinetics400/k400_test/k400_test/test/1C4vG-FncVs_000197_000207.mp4,pushing cart,262,assembling computer,8,0.6645087003707886,baby waking up,10,assembling computer,8,0.6653739213943481,0.6094440817832947,inf,1.0,0.0,0.0002572799858171493,99.967852,25.199738025665283,20,0
/work/data/kinetics400/k400_test/k400_test/test/00GyvomBAJc_000006_000016.mp4,arranging flowers,7,archery,5,0.29967132210731506,biking through snow,22,archery,5,0.23357968032360077,0.2520234286785126,inf,1.0,0.0,0.0004486132529564202,99.790511,25.029569149017334,20,0
/work/data/kinetics400/k400_test/k400_test/test/0cLInUD5NqQ_000003_000013.mp4,high kick,152,parkour,207,0.9999992847442627,massaging legs,195,parkour,207,0.9999983906745911,0.9999731183052063,inf,1.0,0.0,0.0018994699930772185,98.360187,23.46241068840027,20,0
/work/data/kinetics400/k400_test/k400_test/test/-wcxLAk3zeA_000002_000012.mp4,drinking shots,102,carving pumpkin,46,0.9999386072158813,throwing discus,358,carving pumpkin,46,0.9999514818191528,0.9702880382537842,inf,1.0,0.0,0.0,99.967852,24.13440990447998,20,0
/work/data/kinetics400/k400_test/k400_test/test/2GVVfYCdnwA_000003_000013.mp4,hopscotch,156,playing xylophone,252,0.34707027673721313,slacklining,313,playing xylophone,252,0.3331139385700226,0.3449645936489105,inf,1.0,0.0,0.0010327694471925497,98.114146,24.474265336990356,20,0
/work/data/kinetics400/k400_test/k400_test/test/2G6nM2VXOlE_000000_000010.mp4,biking through snow,22,snowboarding,322,0.6132007241249084,flipping pancake,129,snowboarding,322,0.5760008692741394,0.5828125476837158,inf,1.0,0.0,0.0005907156737521291,99.967852,25.215413331985474,20,0
/work/data/kinetics400/k400_test/k400_test/test/08Q7AK7-BwE_000034_000044.mp4,riding scooter,274,ski jumping,307,0.2998872399330139,braiding hair,32,ski jumping,307,0.2999836802482605,0.3040904104709625,inf,1.0,0.0,0.00030241935746744275,99.967852,24.954636573791504,20,0
/work/data/kinetics400/k400_test/k400_test/test/201ZYPeyY9c_000370_000380.mp4,massaging legs,195,massaging feet,194,0.3396647274494171,blowing leaves,25,waxing chest,387,0.25601354241371155,0.26954159140586853,inf,1.0,0.0,0.0026937550865113735,99.671215,23.44433569908142,20,0
/work/data/kinetics400/k400_test/k400_test/test/0J83X6wqPpU_000067_000077.mp4,using computer,373,using computer,373,1.0,long jump,182,using computer,373,1.0,0.999999463558197,inf,1.0,0.0,0.0012240845244377851,99.967852,23.97922420501709,20,0
/work/data/kinetics400/k400_test/k400_test/test/1V10xE5s9d4_000000_000010.mp4,trimming trees,366,climbing tree,68,0.4696682095527649,peeling potatoes,211,climbing tree,68,0.4618850648403168,0.43523430824279785,inf,1.0,0.0,0.0012457323027774692,99.967852,24.656312942504883,20,0
/work/data/kinetics400/k400_test/k400_test/test/0K-djmb2Xvg_000106_000116.mp4,playing clarinet,225,playing clarinet,225,0.9215252995491028,ski jumping,307,playing clarinet,225,0.9119292497634888,0.9176264405250549,inf,1.0,0.0,0.0012013850500807166,99.965323,24.08373498916626,20,0
/work/data/kinetics400/k400_test/k400_test/test/0wIbdBnfiBo_000054_000064.mp4,flying kite,130,flying kite,130,0.7886231541633606,swing dancing,342,flying kite,130,0.7777027487754822,0.779705822467804,inf,1.0,0.0,0.0010159354424104095,99.933607,25.09525990486145,20,0
/work/data/kinetics400/k400_test/k400_test/test/189gd5wJlig_000255_000265.mp4,waxing legs,389,changing oil,52,0.3442719280719757,country line dancing,75,changing oil,52,0.3722595274448395,0.3410453200340271,inf,1.0,0.0,0.0034334573429077864,99.967854,23.336699724197388,20,0
/work/data/kinetics400/k400_test/k400_test/test/-7--fzZE2qk_000185_000195.mp4,peeling apples,210,peeling apples,210,0.5099338889122009,gymnastics tumbling,147,peeling apples,210,0.5904992818832397,0.5431141257286072,inf,1.0,0.0,0.0004732034576591104,0.0,25.233845949172974,20,0
