video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,high kick,152,0.5760817527770996,shredding paper,300,shredding paper,300,0.6309855580329895,0.5760817527770996,37.907358899590335,0.8869585433195799,10.527965931833526,0.1457047313451767,98.342168,11.471680879592896,5,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,drinking shots,102,0.5119593143463135,ironing,165,ironing,165,0.6092750430107117,0.5119593143463135,37.03116651538761,0.8813545808573826,12.881419070208514,0.08451396226882935,99.845319,12.730012655258179,14,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming butterfly stroke,341,0.8885981440544128,applauding,3,applauding,3,0.554164707660675,0.8885981440544128,41.3528459806182,0.9666748379796708,4.762069866039135,0.01446088682860136,99.674313,5.463091611862183,6,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.9617690443992615,news anchoring,202,news anchoring,202,0.8432993292808533,0.9617690443992615,36.6097417056059,0.9129646304753639,14.19404541015625,0.11059129983186722,99.722474,5.005640029907227,6,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,blasting sand,23,0.6069031357765198,punching person (boxing),259,punching person (boxing),259,0.541312038898468,0.6069031357765198,40.15598891971565,0.9456562024868366,6.273089284903777,0.08105113357305527,83.060452,3.5298445224761963,4,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,playing ice hockey,235,0.3208686113357544,stomping grapes,332,stomping grapes,332,0.573250949382782,0.3208686113357544,36.53492740092913,0.8887661596920869,14.440679218012436,0.15606153011322021,97.205368,6.0428853034973145,6,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,rock climbing,278,0.7344201803207397,waxing back,386,waxing back,386,0.6568461656570435,0.7344201803207397,37.37541358409438,0.9326665514614698,11.899781921135546,0.06762389093637466,97.774714,5.4209558963775635,6,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,dancing charleston,85,0.6321802735328674,wrestling,395,wrestling,395,0.8523876667022705,0.6321802735328674,44.8833800302892,0.9661829582609095,2.112235599093967,0.008643871173262596,99.856769,4.365038871765137,4,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,sword fighting,345,0.7114667296409607,sneezing,319,sneezing,319,0.6177840828895569,0.7114667296409607,40.258224598223585,0.9476814564949596,6.127141373245804,0.034822702407836914,99.957069,7.734153985977173,7,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,cutting nails,81,0.9034802317619324,doing laundry,96,doing laundry,96,0.5457853078842163,0.9034802317619324,37.49969204777276,0.8927004345047508,11.564081827799479,0.07494192570447922,97.75619,9.558653116226196,11,0
/work/data/kinetics400/k400_test/k400_test/test/-Nj3XmZ7YBM_000107_000117.mp4,changing oil,52,changing oil,52,0.5770320296287537,waxing back,386,waxing back,386,0.5720652937889099,0.5770320296287537,37.85885107133598,0.9153068082746705,10.646215520788122,0.05756448581814766,98.203205,9.201225519180298,10,0
/work/data/kinetics400/k400_test/k400_test/test/-pBiJnwK2oc_000050_000060.mp4,cleaning toilet,64,cleaning toilet,64,0.877552330493927,unloading truck,372,unloading truck,372,0.5422898530960083,0.877552330493927,42.55906955176165,0.9575013829019492,3.607226440994828,0.05182142183184624,98.729831,5.5826005935668945,5,0
/work/data/kinetics400/k400_test/k400_test/test/-08En2aQklI_000233_000243.mp4,building cabinet,38,building cabinet,38,0.5365028381347656,roller skating,280,roller skating,280,0.5957551002502441,0.5365028381347656,40.122189676686915,0.9416427527021963,6.32210046838831,0.02670574001967907,99.170158,7.1947431564331055,7,0
/work/data/kinetics400/k400_test/k400_test/test/-IHwhSActzk_000030_000040.mp4,juggling fire,170,juggling fire,170,0.9683551788330078,wrestling,395,wrestling,395,0.5189653038978577,0.9683551788330078,37.58451813842924,0.8849837610944583,11.340404535929363,0.07314381003379822,99.946184,11.538010358810425,14,0
/work/data/kinetics400/k400_test/k400_test/test/0nE03ePMHI8_000029_000039.mp4,playing clarinet,225,playing ukulele,249,0.40925177931785583,drinking shots,102,drinking shots,102,0.5015087127685547,0.40925177931785583,38.03891673677716,0.9225107256419407,10.21383145932798,0.0381033793091774,99.595853,8.535064220428467,9,0
/work/data/kinetics400/k400_test/k400_test/test/-8Appls4ZFg_000236_000246.mp4,making pizza,188,making pizza,188,0.8840641975402832,skipping rope,311,skipping rope,311,0.5126215219497681,0.8840641975402832,37.02911048532223,0.9259306463870091,12.887518814997263,0.05541493371129036,99.451504,5.801998615264893,6,0
/work/data/kinetics400/k400_test/k400_test/test/-0tnFi1az8k_000014_000024.mp4,bench pressing,19,bench pressing,19,0.819514274597168,yawning,397,yawning,397,0.5639923810958862,0.819514274597168,38.681651252635014,0.944364256382089,8.808769291065357,0.024841098114848137,99.693143,9.034343957901001,8,0
/work/data/kinetics400/k400_test/k400_test/test/-ek3zFzo560_000537_000547.mp4,answering questions,2,answering questions,2,0.12868282198905945,changing wheel,53,changing wheel,53,0.5214618444442749,0.12868282198905945,33.52057007086759,0.7564472746382169,28.908353301625194,0.19912181794643402,86.628909,11.448664665222168,13,0
/work/data/kinetics400/k400_test/k400_test/test/-zWLKc6CjTY_000056_000066.mp4,riding unicycle,275,riding unicycle,275,0.7045482397079468,texting,355,texting,355,0.49731460213661194,0.7045482397079468,32.83672979396316,0.8285908406542538,33.83821001129039,0.17123346030712128,99.514335,16.711363792419434,20,0
/work/data/kinetics400/k400_test/k400_test/test/0DqjuG09Xls_000122_000132.mp4,testifying,354,testifying,354,0.8903905749320984,drumming fingers,106,drumming fingers,106,0.498738557100296,0.8903905749320984,32.792457060115346,0.8140868209693931,34.18492684500558,0.1461390256881714,92.660468,15.297996759414673,20,0
/work/data/kinetics400/k400_test/k400_test/test/0LGDPVwWMhg_000009_000019.mp4,swing dancing,342,swing dancing,342,0.5689418911933899,sniffing,320,sniffing,320,0.5018947720527649,0.5689418911933899,37.69211866969896,0.9282827186642201,11.062887446085613,0.0260787233710289,99.950752,11.475624799728394,13,0
/work/data/kinetics400/k400_test/k400_test/test/-pyFr1WZPbM_000032_000042.mp4,cutting watermelon,83,cutting watermelon,83,0.9573191404342651,tickling,359,tickling,359,0.5544529557228088,0.9573191404342651,37.598466482574594,0.9089347067750664,11.304040702537254,0.040125977247953415,99.451315,8.571518659591675,10,0
/work/data/kinetics400/k400_test/k400_test/test/1yYHLBmC3f4_000003_000013.mp4,climbing a rope,66,climbing a rope,66,0.9526396989822388,stomping grapes,332,stomping grapes,332,0.66478431224823,0.9526396989822388,36.017261110458435,0.8631631763017994,16.26875241126543,0.17619742453098297,98.152106,5.3140869140625,6,0
/work/data/kinetics400/k400_test/k400_test/test/0GesW7F0eN8_000011_000021.mp4,pushing wheelchair,263,pushing wheelchair,263,0.9581546187400818,sniffing,320,sniffing,320,0.5319247245788574,0.9581546187400818,40.51931254837125,0.9473767060893314,5.769645182291667,0.06812448054552078,99.938825,3.9638421535491943,4,0
/work/data/kinetics400/k400_test/k400_test/test/-dhP2AH0eqI_000141_000151.mp4,checking tires,54,checking tires,54,0.9188146591186523,assembling computer,8,assembling computer,8,0.5121275782585144,0.9188146591186523,37.30137180305919,0.8881500054514722,12.104397594310619,0.07276870310306549,99.567053,8.916012287139893,10,0
/work/data/kinetics400/k400_test/k400_test/test/14Z2DC05cIg_000019_000029.mp4,playing kickball,237,playing kickball,237,0.5730789303779602,texting,355,texting,355,0.5107119679450989,0.5730789303779602,39.5868703127358,0.9477521093197956,7.151437205561885,0.02505101077258587,99.917823,6.976316928863525,7,0
/work/data/kinetics400/k400_test/k400_test/test/1DzvlrKhmZI_000002_000012.mp4,shaking head,289,sign language interpreting,303,0.34097254276275635,drumming fingers,106,drumming fingers,106,0.7598791122436523,0.34097254276275635,36.057519687990116,0.8579737504054598,16.11863986545139,0.20360679924488068,92.857034,5.2101662158966064,6,0
/work/data/kinetics400/k400_test/k400_test/test/2UFYQtLCPZ8_000136_000146.mp4,massaging person's head,196,massaging person's head,196,0.6759695410728455,running on treadmill,281,running on treadmill,281,0.4951946437358856,0.6759695410728455,37.281532959225686,0.9199996543224264,12.159817725287544,0.03482416272163391,99.223605,16.785630226135254,20,0
/work/data/kinetics400/k400_test/k400_test/test/1LWUlv7twOg_000057_000067.mp4,answering questions,2,writing,396,0.7455711364746094,waxing back,386,waxing back,386,0.5060714483261108,0.7455711364746094,33.27111357899882,0.806372193682659,30.617448990433303,0.1475110948085785,92.94908,8.931076288223267,11,0
