video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,swinging legs,343,0.1479814052581787,springboard diving,329,springboard diving,329,0.38443678617477417,0.1406906247138977,31.052634264234506,0.6391199445470206,51.02898552035108,0.30681514739990234,86.128521,49.75543570518494,20,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,washing feet,380,0.14778821170330048,parkour,207,parkour,207,0.20074228942394257,0.18320786952972412,31.14056047886493,0.6541276391077436,50.006252904821324,0.2299036830663681,88.474172,49.32186961174011,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,singing,304,0.3327949643135071,shoveling snow,299,shoveling snow,299,0.1814640611410141,0.3018513023853302,31.07919319289444,0.7126006376357608,50.717874134205005,0.14805200695991516,76.334598,49.06100916862488,20,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,tapping guitar,350,0.8863943815231323,finger snapping,127,finger snapping,127,0.37288698554039,0.8795486688613892,31.60703692848816,0.7931149736780442,44.91347601996528,0.23527631163597107,93.811246,42.72499418258667,18,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,tasting beer,352,0.865473210811615,ice fishing,163,ice fishing,163,0.38061532378196716,0.8057772517204285,30.824777973172633,0.683478969005629,53.777742034313725,0.3157159090042114,74.767071,43.810303926467896,18,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,swimming backstroke,339,0.26328447461128235,cracking neck,76,cracking neck,76,0.31820011138916016,0.3283834457397461,30.879650181079768,0.6677570799503262,53.10254587077887,0.3511037528514862,88.351654,46.94425582885742,20,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,lunge,183,0.6066745519638062,sharpening pencil,291,lunge,183,0.41616499423980713,0.6914243698120117,30.948650315573335,0.7976202994072282,52.265526459619345,0.1883648782968521,91.138918,48.38604021072388,20,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,swimming breast stroke,340,0.4302806258201599,throwing ball,357,throwing ball,357,0.28571000695228577,0.5164599418640137,32.17789660320926,0.6595208113661685,39.38135913990162,0.10229852050542831,86.661412,49.07198619842529,20,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,salsa dancing,283,0.47849762439727783,shoveling snow,299,salsa dancing,283,0.1480814665555954,0.33236241340637207,30.712970915801733,0.7040761599796391,55.18019987883391,0.15937736630439758,90.495102,49.886536598205566,20,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,playing bagpipes,219,0.8639006614685059,dunking basketball,107,digging,90,0.14656871557235718,0.9043674468994141,31.349909425692086,0.6653807713351068,47.65290908248336,0.19948245584964752,83.234253,49.129085063934326,20,0
