video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,high kick,152,0.09450738877058029,climbing a rope,66,climbing a rope,66,0.5225107669830322,0.09302761405706406,32.12543365478148,0.7274487432363184,39.85997255979938,0.28080978989601135,88.25186,12.677258491516113,9,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,drinking,100,0.10444306582212448,exercising with an exercise ball,120,exercising with an exercise ball,120,0.5101926326751709,0.13656216859817505,35.01022351019377,0.8202102560289306,20.514361762152777,0.13214705884456635,99.474983,11.940613269805908,12,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming butterfly stroke,341,0.33621862530708313,swinging legs,343,swinging legs,343,0.38780954480171204,0.2825314998626709,38.89019365283716,0.9474033759000393,8.395778948748553,0.023166581988334656,98.197016,7.093478679656982,6,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.6927427053451538,taking a shower,347,taking a shower,347,0.5582276582717896,0.6901317834854126,36.58680883330319,0.9174343499290808,14.269195149739584,0.11277379095554352,99.538236,5.366422891616821,5,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,blasting sand,23,0.48183557391166687,bending metal,21,bending metal,21,0.684186577796936,0.5070108771324158,34.877805151588824,0.8483067169343407,21.149487393336965,0.2008877545595169,76.915671,6.291297435760498,6,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,ice skating,164,0.24823778867721558,bending metal,21,bending metal,21,0.5270191431045532,0.24103295803070068,31.00172738032466,0.7060721802191396,51.63065359477124,0.3254839777946472,91.869937,13.688304662704468,14,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,rock climbing,278,0.43134984374046326,blowing leaves,25,blowing leaves,25,0.5748952031135559,0.3957478404045105,33.57434700310753,0.8789757623551606,28.552599954989713,0.12969747185707092,92.461944,7.295290470123291,7,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,salsa dancing,283,0.14017188549041748,doing aerobics,95,doing aerobics,95,0.5570968985557556,0.14807386696338654,36.34148119408195,0.8233740821396831,15.098445701316551,0.05473605915904045,95.710966,10.746976375579834,10,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,sword fighting,345,0.5720219016075134,plastering,216,plastering,216,0.5156466960906982,0.4985853433609009,35.465144833154866,0.8622800870323053,18.474210064923323,0.08106472343206406,99.967848,10.035879611968994,9,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,cutting nails,81,0.8031754493713379,drumming fingers,106,drumming fingers,106,0.5304204821586609,0.7957473993301392,35.88342618926552,0.8440159164056944,16.77790542263455,0.12926992774009705,95.312783,10.082947969436646,9,0
/work/data/kinetics400/k400_test/k400_test/test/-Nj3XmZ7YBM_000107_000117.mp4,changing oil,52,changing oil,52,0.5791633725166321,recording music,266,recording music,266,0.4817601144313812,0.5734390616416931,42.43697522453691,0.9668492295635656,3.7100762758608217,0.0210792887955904,99.029462,5.613906383514404,4,0
/work/data/kinetics400/k400_test/k400_test/test/-pBiJnwK2oc_000050_000060.mp4,cleaning toilet,64,cleaning toilet,64,0.6782563328742981,making a sandwich,185,making a sandwich,185,0.597852885723114,0.6716455221176147,34.77882602335915,0.7975277213816766,21.63703554506655,0.19424310326576233,90.710967,12.481337308883667,12,0
