video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,high kick,152,0.23241999745368958,holding snake,155,holding snake,155,0.5814087986946106,0.058319006115198135,45.273139155779276,0.9638995996434976,1.9309296231995885,0.07342308759689331,98.240891,7.131909132003784,2,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,slapping,314,0.15377172827720642,peeling potatoes,211,peeling potatoes,211,0.8318147659301758,0.003793256124481559,41.931622414247116,0.96635970627013,4.167907955970294,0.05956171452999115,99.109504,5.5758585929870605,4,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming butterfly stroke,341,0.6525062322616577,cleaning pool,62,cleaning pool,62,0.583197832107544,0.05483259633183479,45.04106234157403,0.9861628983970839,2.036920723620756,0.0138733871281147,96.639848,3.8516035079956055,2,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.9302238821983337,drumming fingers,106,drumming fingers,106,0.8090050220489502,0.00014525496226269752,41.79705359612542,0.9710764936326806,4.299074797453704,0.051330726593732834,97.822553,2.090756893157959,4,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,blasting sand,23,0.5087193250656128,scuba diving,286,scuba diving,286,0.590654730796814,0.0509805791079998,41.00297353200264,0.9606763335683066,5.161584097373518,0.0941186472773552,79.626023,2.5796353816986084,5,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,hockey stop,154,0.31215059757232666,bandaging,13,bandaging,13,0.5318722128868103,0.017649061977863312,40.23370965192994,0.9487661651986402,6.1618255075950135,0.1568865329027176,93.748081,3.0845274925231934,6,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,abseiling,0,0.44176939129829407,picking fruit,214,picking fruit,214,0.642228364944458,0.017710823565721512,41.92746295607202,0.9786794381783417,4.1719016846707815,0.035318054258823395,97.241752,3.997497797012329,4,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,tango dancing,348,0.17732664942741394,doing aerobics,95,doing aerobics,95,0.8552091717720032,9.319232049165294e-05,41.80560594406295,0.9281410543009635,4.29061717092255,0.027731237933039665,96.74968,2.6645803451538086,4,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,sword fighting,345,0.6206251978874207,stomping grapes,332,stomping grapes,332,0.8323935866355896,0.003560743760317564,41.80790090480973,0.9704699440482543,4.288350460853105,0.040153469890356064,99.804857,2.907689094543457,4,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,cutting nails,81,0.712306022644043,cleaning shoes,63,cleaning shoes,63,0.7552088499069214,0.000604998494964093,43.26345709263106,0.9628454815835045,3.0671474277826003,0.06720166653394699,98.627388,2.8405966758728027,3,0
/work/data/kinetics400/k400_test/k400_test/test/-Nj3XmZ7YBM_000107_000117.mp4,changing oil,52,changing oil,52,0.7810438871383667,mopping floor,198,mopping floor,198,0.779461681842804,0.007140863221138716,42.00018331176666,0.9674911078762451,4.102626960660205,0.03171203285455704,95.845456,4.4328296184539795,4,0
