video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,high kick,152,0.6630231142044067,running on treadmill,281,running on treadmill,281,0.5841900706291199,0.067656509578228,44.469714517395154,0.9707125730799706,2.323319347993827,0.07516700029373169,99.774987,9.723160028457642,4,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,sneezing,319,0.08953450620174408,pushing wheelchair,263,pushing wheelchair,263,0.7267971038818359,0.0005059227696619928,47.1801561579172,0.9865728373657946,1.2447001591435185,0.0077283731661736965,99.741435,10.570797443389893,7,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming butterfly stroke,341,0.7988772392272949,pole vault,253,pole vault,253,0.7395815253257751,0.011213674210011959,48.920840800958665,0.9949004133677729,0.8336740451388889,0.0015066616469994187,99.839259,7.789787530899048,5,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.8897116184234619,waxing back,386,waxing back,386,0.6445782780647278,0.23301783204078674,39.66169799220513,0.9542045578189329,7.029275444878472,0.07383658736944199,97.925322,17.10635995864868,12,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,blasting sand,23,0.913293182849884,ski jumping,307,ski jumping,307,0.7988678216934204,0.00016894715372473001,43.27348112254187,0.9729351551239146,3.0600762527233116,0.04936225712299347,80.818967,10.732551097869873,7,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,hockey stop,154,0.772137463092804,playing kickball,237,playing kickball,237,0.5405822396278381,0.00018216257740277797,41.24653611449858,0.9567857614123985,4.880077841321714,0.09377038478851318,99.723319,15.797639846801758,11,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,rock climbing,278,0.891042947769165,planting trees,215,planting trees,215,0.76251620054245,0.00021752493921667337,40.83234111063162,0.9690781141363983,5.368417084619342,0.03673607483506203,96.391829,18.463820695877075,13,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,dancing charleston,85,0.882086455821991,air drumming,1,air drumming,1,0.8372815251350403,0.0003458209102973342,52.944679002342426,0.9943010327451033,0.33007486979166667,0.0017051828326657414,99.650189,4.089570999145508,2,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,sword fighting,345,0.9059589505195618,playing monopoly,238,playing monopoly,238,0.5606252551078796,0.2979698181152344,46.888557858014636,0.9870641330119445,1.331142578125,0.008268957026302814,99.839255,12.076490640640259,8,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,cutting nails,81,0.8785969018936157,dying hair,108,dying hair,108,0.8486548066139221,0.0007559556397609413,47.46086315201253,0.9844413542640217,1.1667936197916666,0.020053159445524216,99.839222,10.495713949203491,7,0
/work/data/kinetics400/k400_test/k400_test/test/-Nj3XmZ7YBM_000107_000117.mp4,changing oil,52,changing oil,52,0.8909565210342407,playing controller,226,playing controller,226,0.5926398038864136,0.07863040268421173,48.74413787204051,0.9922314547312843,0.8682935474537037,0.003935324028134346,98.927051,7.809022903442383,5,0
/work/data/kinetics400/k400_test/k400_test/test/-pBiJnwK2oc_000050_000060.mp4,cleaning toilet,64,cleaning toilet,64,0.9197642803192139,laying bricks,181,laying bricks,181,0.5631188154220581,0.03177129104733467,44.92839104418137,0.9750576629143881,2.090457085503472,0.040713004767894745,98.235515,18.56403350830078,13,0
/work/data/kinetics400/k400_test/k400_test/test/-08En2aQklI_000233_000243.mp4,building cabinet,38,building cabinet,38,0.89641273021698,cleaning gutters,61,cleaning gutters,61,0.8645079135894775,0.00023885355039965361,46.87492740983984,0.985113767668325,1.3353269675925925,0.007994663901627064,99.292552,11.835338592529297,8,0
/work/data/kinetics400/k400_test/k400_test/test/-IHwhSActzk_000030_000040.mp4,juggling fire,170,juggling fire,170,0.9158630967140198,drinking beer,101,drinking beer,101,0.5132232308387756,0.07731663435697556,46.849642788857096,0.9813027778545306,1.3431239149305556,0.018054867163300514,99.774484,11.832801818847656,8,0
