video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,high kick,152,0.8970754146575928,skiing slalom,310,skiing slalom,310,0.6989395618438721,0.006024448201060295,53.50394492298545,0.9978050710055343,0.2901922892692892,0.0016051986021921039,99.907282,50.171016454696655,17,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,drinking beer,101,0.342725545167923,shearing sheep,294,shearing sheep,294,0.655086874961853,0.004975575953722,60.08187797493915,0.9993198144854609,0.06381056108382982,0.000661268481053412,99.916467,34.84900951385498,12,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming breast stroke,340,0.5810531973838806,sanding floor,284,sanding floor,284,0.5923865437507629,0.0038627481553703547,59.176217279819994,0.9993913139406214,0.07860653138388866,0.0003832793445326388,99.907389,42.837594509124756,15,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.992365837097168,skiing slalom,310,skiing slalom,310,0.7759563326835632,0.006680266000330448,53.51443958938112,0.9981767612598089,0.2894918901885527,0.0022053271532058716,99.911733,54.37224268913269,20,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,extinguishing fire,121,0.5375300645828247,playing controller,226,blasting sand,23,0.2015078365802765,0.17991691827774048,55.26781579642631,0.9983121427186632,0.19332979090122335,0.00294262426905334,87.164351,54.75801372528076,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,ice skating,164,0.6617355346679688,playing controller,226,hockey stop,154,0.23476579785346985,0.17461614310741425,55.06342016019042,0.998486667999593,0.20264614425818334,0.003701069625094533,97.936047,54.954936265945435,20,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,rock climbing,278,0.9647061228752136,skiing slalom,310,water skiing,383,0.49315330386161804,0.033710580319166183,54.32490403265792,0.9986279719288835,0.24020937741331422,0.001061885617673397,99.912936,55.21161913871765,20,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,tap dancing,349,0.41985076665878296,unboxing,371,dancing macarena,87,0.10029762983322144,0.003694874467328191,56.62649426800151,0.9978843909728773,0.14139398480724644,0.000230040168389678,99.913742,56.93267798423767,20,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,sword fighting,345,0.8127965927124023,breading or breadcrumbing,33,breading or breadcrumbing,33,0.7822823524475098,0.0031692171469330788,58.63255286591384,0.9992238162553025,0.08908920311512594,0.00048132488154806197,99.916238,48.686392307281494,17,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,cutting nails,81,0.9989786148071289,dribbling basketball,99,dribbling basketball,99,0.6474806070327759,0.011336992494761944,58.50862049075603,0.9990356264744463,0.0916681172971356,0.0008008608128875494,99.916161,48.48437523841858,17,0
