video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,side kick,302,0.15136168897151947,playing controller,226,playing controller,226,0.5487034320831299,0.15078720450401306,34.61362344762832,0.8133696945256916,22.47594786844136,0.231041818857193,96.914145,10.731037139892578,6,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,drinking beer,101,0.07054965943098068,presenting weather forecast,254,presenting weather forecast,254,0.5184877514839172,0.07062901556491852,31.371079199074327,0.7239402347139829,47.421189222547746,0.24060575664043427,97.775171,10.598084449768066,8,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming butterfly stroke,341,0.44062963128089905,bee keeping,17,bee keeping,17,0.5055539608001709,0.4412411153316498,30.701272896338395,0.7725706018059083,55.329031882957175,0.1358853280544281,88.93369,10.208098888397217,9,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.932887077331543,presenting weather forecast,254,presenting weather forecast,254,0.4131486713886261,0.9297278523445129,30.5886874185374,0.7700697651279722,56.7821220703125,0.2645047605037689,98.16604,12.781780481338501,20,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,blasting sand,23,0.5442366003990173,passing American football (in game),208,passing American football (in game),208,0.36358100175857544,0.5072807669639587,30.21768399182625,0.6750028880011585,61.84604921250908,0.3399941921234131,73.821579,16.003542184829712,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,hockey stop,154,0.3639509677886963,bandaging,13,bandaging,13,0.5210875868797302,0.3589664697647095,30.617397412331965,0.6932270288964717,56.407989345043575,0.3663654327392578,94.842789,12.162200212478638,17,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,rock climbing,278,0.37126293778419495,making sushi,190,making sushi,190,0.47170719504356384,0.3664861023426056,30.45869098314983,0.7837731220376172,58.50746244855967,0.21043094992637634,95.433463,14.296024084091187,20,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,salsa dancing,283,0.25427669286727905,sharpening knives,290,sharpening knives,290,0.5422296524047852,0.25182777643203735,33.33752661368052,0.7079131177748057,30.152803638599536,0.1025300845503807,92.194664,9.3402578830719,7,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,sword fighting,345,0.20904572308063507,belly dancing,18,belly dancing,18,0.644710898399353,0.21418099105358124,37.09787627384199,0.9134683412734684,12.685066067165799,0.0852852314710617,99.876853,9.387904644012451,4,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,cutting nails,81,0.7955547571182251,dodgeball,94,cutting nails,81,0.41138187050819397,0.7947477102279663,30.477075713651093,0.6237730605371659,58.260309778284146,0.26089543104171753,87.681846,18.059181928634644,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Nj3XmZ7YBM_000107_000117.mp4,changing oil,52,changing oil,52,0.9428161978721619,ski jumping,307,ski jumping,307,0.7870867848396301,0.9417699575424194,38.81814785931483,0.9340258716063575,8.536219518590856,0.06817133724689484,98.990676,7.5854785442352295,4,0
/work/data/kinetics400/k400_test/k400_test/test/-pBiJnwK2oc_000050_000060.mp4,cleaning toilet,64,cleaning toilet,64,0.9997562766075134,riding mechanical bull,270,cleaning toilet,64,0.7394853234291077,0.9997692704200745,30.17945937822833,0.6496716600411517,62.39279240813079,0.3373247981071472,82.128246,17.83016085624695,20,0
/work/data/kinetics400/k400_test/k400_test/test/-08En2aQklI_000233_000243.mp4,building cabinet,38,building cabinet,38,0.8985368609428406,throwing discus,358,throwing discus,358,0.5159305334091187,0.8985680341720581,32.880043748850426,0.7954072686428026,33.502405124240454,0.12970998883247375,92.828937,9.998237609863281,7,0
/work/data/kinetics400/k400_test/k400_test/test/-IHwhSActzk_000030_000040.mp4,juggling fire,170,juggling fire,170,0.804904580116272,bookbinding,29,bookbinding,29,0.5240801572799683,0.804327666759491,35.58193633642523,0.8196249481354018,17.98401794433594,0.13717475533485413,99.741028,9.783902883529663,6,0
/work/data/kinetics400/k400_test/k400_test/test/0nE03ePMHI8_000029_000039.mp4,playing clarinet,225,playing clarinet,225,0.19700856506824493,cleaning pool,62,cleaning pool,62,0.5046103000640869,0.19537240266799927,30.287929389599462,0.7326645182546814,60.85376063820168,0.16621620953083038,96.141018,14.562388181686401,15,0
/work/data/kinetics400/k400_test/k400_test/test/-8Appls4ZFg_000236_000246.mp4,making pizza,188,making pizza,188,0.6172862648963928,swing dancing,342,swing dancing,342,0.5334421992301941,0.6182376146316528,30.319882920521778,0.7370348335423358,60.40766778131272,0.20788125693798065,96.757891,13.56442403793335,17,0
/work/data/kinetics400/k400_test/k400_test/test/-0tnFi1az8k_000014_000024.mp4,bench pressing,19,bench pressing,19,0.9848657846450806,presenting weather forecast,254,presenting weather forecast,254,0.4078669846057892,0.9850330948829651,30.318252568705994,0.7454107240825949,60.43034922055845,0.16078516840934753,93.856533,19.649644136428833,20,0
/work/data/kinetics400/k400_test/k400_test/test/-ek3zFzo560_000537_000547.mp4,answering questions,2,arranging flowers,7,0.29562973976135254,roller skating,280,roller skating,280,0.4991492033004761,0.29632842540740967,31.90925855888908,0.6463505701813681,41.89425819830247,0.2803000807762146,84.687152,14.730733633041382,20,0
/work/data/kinetics400/k400_test/k400_test/test/-zWLKc6CjTY_000056_000066.mp4,riding unicycle,275,riding unicycle,275,0.705961287021637,massaging legs,195,massaging legs,195,0.46033525466918945,0.70477694272995,30.436973843943647,0.7276189245580768,58.80076502360203,0.3178403973579407,99.310133,13.911657094955444,20,0
/work/data/kinetics400/k400_test/k400_test/test/0DqjuG09Xls_000122_000132.mp4,testifying,354,testifying,354,0.9987002015113831,feeding goats,125,feeding goats,125,0.5338674187660217,0.9987636208534241,30.59447405439965,0.7194830875024935,56.70651469494047,0.3039293885231018,85.559161,12.845928192138672,18,0
/work/data/kinetics400/k400_test/k400_test/test/0LGDPVwWMhg_000009_000019.mp4,swing dancing,342,breakdancing,34,0.24094179272651672,blasting sand,23,blasting sand,23,0.5188677310943604,0.24188612401485443,30.464726454430924,0.7507355771065899,58.42621001066985,0.12266075611114502,99.566586,11.970485925674438,10,0
/work/data/kinetics400/k400_test/k400_test/test/-pyFr1WZPbM_000032_000042.mp4,cutting watermelon,83,cutting watermelon,83,0.9509614706039429,snowboarding,322,snowboarding,322,0.3839854300022125,0.9509361982345581,30.29627324022563,0.6495906689326171,60.73695803946036,0.21934540569782257,95.127752,18.219654083251953,20,0
/work/data/kinetics400/k400_test/k400_test/test/1yYHLBmC3f4_000003_000013.mp4,climbing a rope,66,climbing a rope,66,0.9786494374275208,tapping pen,351,tapping pen,351,0.332137793302536,0.9791680574417114,30.749721978501597,0.700173566833586,54.71522166763117,0.31798481941223145,94.409254,13.200229167938232,20,0
/work/data/kinetics400/k400_test/k400_test/test/0GesW7F0eN8_000011_000021.mp4,pushing wheelchair,263,pushing wheelchair,263,0.9930400252342224,playing kickball,237,playing kickball,237,0.5000998973846436,0.992637574672699,31.272539003413705,0.69646070272891,48.50946227575231,0.2962408661842346,97.470965,8.712528467178345,11,0
/work/data/kinetics400/k400_test/k400_test/test/-dhP2AH0eqI_000141_000151.mp4,checking tires,54,checking tires,54,0.9633673429489136,doing aerobics,95,doing aerobics,95,0.5814724564552307,0.9631347060203552,34.66307260532799,0.8183345012803412,22.2214861291956,0.16742965579032898,98.763544,10.304949760437012,7,0
/work/data/kinetics400/k400_test/k400_test/test/14Z2DC05cIg_000019_000029.mp4,playing kickball,237,catching or throwing softball,50,0.2872207462787628,bartending,15,bartending,15,0.6542076468467712,0.28848761320114136,35.9193567638711,0.8900086138025717,16.639669058340566,0.08249188214540482,99.643658,7.764134407043457,5,0
/work/data/kinetics400/k400_test/k400_test/test/1DzvlrKhmZI_000002_000012.mp4,shaking head,289,news anchoring,202,0.0976884663105011,opening present,204,opening present,204,0.516563892364502,0.09278586506843567,31.314222833623194,0.7350008811480309,48.04609299045139,0.3349960148334503,87.917374,7.624337911605835,10,0
/work/data/kinetics400/k400_test/k400_test/test/2UFYQtLCPZ8_000136_000146.mp4,massaging person's head,196,massaging person's head,196,0.34011316299438477,hammer throw,148,hammer throw,148,0.5203182697296143,0.3410429060459137,33.08640104895402,0.8508459445560492,31.947748431170428,0.09117048233747482,96.562125,8.702747821807861,7,0
/work/data/kinetics400/k400_test/k400_test/test/1LWUlv7twOg_000057_000067.mp4,answering questions,2,writing,396,0.8492244482040405,riding mechanical bull,270,writing,396,0.3139813244342804,0.8449258208274841,30.26483021128572,0.7309145348669834,61.17829083478009,0.21942134201526642,86.168676,14.864059925079346,20,0
/work/data/kinetics400/k400_test/k400_test/test/0YhNlD9Z5pw_000016_000026.mp4,shaking head,289,pumping fist,256,0.10791613906621933,ice climbing,162,ice climbing,162,0.667224645614624,0.11106525361537933,40.02952144484225,0.937286122449634,6.458448731138546,0.11730623245239258,99.223867,4.83901834487915,3,0
/work/data/kinetics400/k400_test/k400_test/test/0hu29nUZELQ_000001_000011.mp4,mowing lawn,201,mowing lawn,201,0.9142118692398071,bookbinding,29,bookbinding,29,0.51689612865448,0.9137501120567322,34.906018259409365,0.9513654919040446,21.012539116753473,0.08286559581756592,99.916402,5.703102111816406,6,0
/work/data/kinetics400/k400_test/k400_test/test/11xzcHo4Ts8_000000_000010.mp4,tickling,359,headbanging,149,0.11471407860517502,swimming butterfly stroke,341,swimming butterfly stroke,341,0.5249903202056885,0.13160240650177002,33.714104397907164,0.8558066163633041,27.648394724151235,0.1796666383743286,99.847586,7.059689521789551,6,0
/work/data/kinetics400/k400_test/k400_test/test/0vJAFezLPhI_000021_000031.mp4,snowmobiling,324,snowmobiling,324,0.927873969078064,bandaging,13,bandaging,13,0.5000593066215515,0.9284353256225586,30.430245684991313,0.6940818585424381,58.891930700231484,0.3066346049308777,97.948067,17.226831197738647,17,0
/work/data/kinetics400/k400_test/k400_test/test/0ygbcm02tLs_000002_000012.mp4,playing organ,239,playing organ,239,0.9978556632995605,snorkeling,321,playing organ,239,0.3969740867614746,0.9977676272392273,31.96242734070242,0.6789617477786998,41.384491833345386,0.28635722398757935,98.245329,15.374934673309326,20,0
/work/data/kinetics400/k400_test/k400_test/test/-wwCJVLbKFI_000108_000118.mp4,bending back,20,bending back,20,0.6257581114768982,skiing slalom,310,skiing slalom,310,0.4666650891304016,0.6269692778587341,30.583506950660823,0.8235703730533632,56.84989485677083,0.12256713211536407,89.409096,14.965520143508911,20,0
/work/data/kinetics400/k400_test/k400_test/test/-74c73MiIes_001409_001419.mp4,assembling computer,8,assembling computer,8,0.9994015097618103,riding mechanical bull,270,riding mechanical bull,270,0.5558408498764038,0.9993961453437805,35.8301135780221,0.9217939291089416,16.98513500072338,0.07491202652454376,95.574943,6.753446340560913,6,0
/work/data/kinetics400/k400_test/k400_test/test/-YtHps-n5Ks_000002_000012.mp4,passing American football (in game),208,passing American football (in game),208,0.630055844783783,blasting sand,23,blasting sand,23,0.35449060797691345,0.6270167827606201,30.19848303836738,0.6963527321090295,62.12008724875293,0.2694322168827057,90.551228,14.18686580657959,20,0
/work/data/kinetics400/k400_test/k400_test/test/0IYbQ2DUi3o_000000_000010.mp4,tobogganing,360,tobogganing,360,0.8910068869590759,grinding meat,144,grinding meat,144,0.5853637456893921,0.8909308314323425,33.09207716740279,0.7875598291247992,31.90602081072772,0.22009794414043427,95.561206,9.150854110717773,7,0
/work/data/kinetics400/k400_test/k400_test/test/-CQ6GzkHHPo_000012_000022.mp4,sharpening pencil,291,sharpening pencil,291,0.7375285029411316,riding mule,272,riding mule,272,0.49947068095207214,0.741904616355896,30.195861154197377,0.6448157464654668,62.15760116012008,0.38375645875930786,90.185567,17.947344303131104,20,0
/work/data/kinetics400/k400_test/k400_test/test/1Qd6SEAhmvM_000068_000078.mp4,making sushi,190,making sushi,190,0.9999707341194153,rock climbing,278,rock climbing,278,0.5299371480941772,0.999970018863678,30.64288490194651,0.7113619794267513,56.07791663501881,0.1955711543560028,99.379886,11.197795867919922,10,0
