video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,drop kicking,105,0.3214113116264343,clay pottery making,58,contact juggling,69,0.20048530399799347,0.297489732503891,31.834036232697407,0.7198811801229683,42.626211709104936,0.3064177334308624,93.634412,20.65454936027527,20,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,brushing teeth,37,0.2749592661857605,presenting weather forecast,254,contact juggling,69,0.11803305149078369,0.295918345451355,31.276903176439937,0.6665002776795925,48.46074018464265,0.2344965934753418,96.781326,20.17316722869873,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming butterfly stroke,341,0.582487165927887,planting trees,215,snorkeling,321,0.2652096450328827,0.398470401763916,30.940485983621926,0.763482149742854,52.36387319607205,0.13136793673038483,84.895403,19.875926733016968,20,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.9148763418197632,golf chipping,141,golf chipping,141,0.4509045481681824,0.24545276165008545,31.14418364304829,0.7843355221589449,49.96455186631945,0.2716013789176941,98.120382,17.447108030319214,19,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,spraying,328,0.3286869525909424,swing dancing,342,spray painting,327,0.3098222613334656,0.460252583026886,30.900789629687576,0.689646557858602,52.84469527278504,0.3338964283466339,75.950768,18.842918395996094,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,ice skating,164,0.7858769297599792,exercising arm,119,ice skating,164,0.327850341796875,0.5146812796592712,30.816080345223064,0.6746640680271804,53.88555078976035,0.36835965514183044,95.722552,18.98803400993347,20,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,rock climbing,278,0.6679105758666992,assembling computer,8,rock climbing,278,0.1867545247077942,0.5101363658905029,31.252711981835105,0.804687739664355,48.731430780607,0.20443466305732727,94.744483,19.106483936309814,20,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,beatboxing,16,0.26738694310188293,bee keeping,17,surfing crowd,336,0.1628972440958023,0.18894976377487183,32.336897877838744,0.6607802239165627,37.96562669089988,0.11780116707086563,89.500375,19.90397834777832,20,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,reading book,264,0.30186203122138977,paragliding,205,paragliding,205,0.2522068917751312,0.2872534394264221,30.962604032226842,0.7049061969611812,52.09786879249855,0.18801353871822357,98.822452,19.726473808288574,20,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,cutting nails,81,0.5901328921318054,capoeira,43,capoeira,43,0.559502899646759,0.5998936295509338,31.3229359660993,0.6574441889017989,47.94979604763455,0.24119918048381805,85.827915,18.685329914093018,19,0
/work/data/kinetics400/k400_test/k400_test/test/-Nj3XmZ7YBM_000107_000117.mp4,changing oil,52,changing oil,52,0.9977970123291016,springboard diving,329,cleaning shoes,63,0.26187998056411743,0.9735144376754761,31.42640840891042,0.7275942176988183,46.82087438964844,0.19154676795005798,87.302707,20.109179496765137,20,0
/work/data/kinetics400/k400_test/k400_test/test/-pBiJnwK2oc_000050_000060.mp4,cleaning toilet,64,cleaning toilet,64,0.9999862909317017,javelin throw,166,cleaning toilet,64,0.7042349576950073,1.0,30.838718998496137,0.6325462484699955,53.60539012315538,0.3084051012992859,80.204157,19.963708639144897,20,0
/work/data/kinetics400/k400_test/k400_test/test/-08En2aQklI_000233_000243.mp4,building cabinet,38,building cabinet,38,0.5091090202331543,skiing slalom,310,building shed,39,0.13222120702266693,0.3315759301185608,31.330139077956392,0.7136981297899092,47.87033349609375,0.15281419456005096,88.268926,19.83337426185608,20,0
/work/data/kinetics400/k400_test/k400_test/test/-IHwhSActzk_000030_000040.mp4,juggling fire,170,juggling fire,170,0.6084704995155334,swimming breast stroke,340,stomping grapes,332,0.21858853101730347,0.5754475593566895,31.992217308610922,0.6683300395817118,41.101590689199945,0.20086054503917694,94.17409,19.885093927383423,20,0
/work/data/kinetics400/k400_test/k400_test/test/0nE03ePMHI8_000029_000039.mp4,playing clarinet,225,playing trombone,247,0.6286230087280273,cleaning pool,62,tossing coin,361,0.09438561648130417,0.23597802221775055,31.03782114084336,0.7230744974029565,51.203334789134836,0.1557912975549698,95.600493,19.90196990966797,20,0
/work/data/kinetics400/k400_test/k400_test/test/-8Appls4ZFg_000236_000246.mp4,making pizza,188,making pizza,188,0.887676477432251,swing dancing,342,making pizza,188,0.13652220368385315,0.9113079309463501,31.22054431172565,0.7639516580700987,49.09371868443259,0.2009342908859253,95.061235,18.96175241470337,20,0
/work/data/kinetics400/k400_test/k400_test/test/-0tnFi1az8k_000014_000024.mp4,bench pressing,19,bench pressing,19,0.990894615650177,playing kickball,237,bench pressing,19,0.5596194267272949,0.9985066652297974,30.903390342211257,0.7560038371299634,52.81305943015769,0.14525453746318817,92.086548,19.952922582626343,20,0
/work/data/kinetics400/k400_test/k400_test/test/-ek3zFzo560_000537_000547.mp4,answering questions,2,arranging flowers,7,0.821832537651062,passing American football (in game),208,celebrating,51,0.08216255158185959,0.6300573945045471,33.269587098951476,0.7068249083550693,30.628212456597222,0.2891365885734558,85.304836,18.90950608253479,20,0
/work/data/kinetics400/k400_test/k400_test/test/-zWLKc6CjTY_000056_000066.mp4,riding unicycle,275,riding unicycle,275,0.9289267659187317,clay pottery making,58,riding unicycle,275,0.29255324602127075,0.906295657157898,31.082293574245018,0.7348902335388752,50.68168011301743,0.30808764696121216,99.460561,18.896293878555298,20,0
/work/data/kinetics400/k400_test/k400_test/test/0DqjuG09Xls_000122_000132.mp4,testifying,354,testifying,354,0.9886363744735718,feeding fish,124,testifying,354,0.34172821044921875,0.9772669672966003,31.265662325767416,0.7241578678880297,48.586333658854166,0.2842892110347748,88.342292,19.05516266822815,20,0
/work/data/kinetics400/k400_test/k400_test/test/0LGDPVwWMhg_000009_000019.mp4,swing dancing,342,breakdancing,34,0.3637106120586395,egg hunting,118,egg hunting,118,0.236251562833786,0.47241050004959106,31.090598634350247,0.7603450803756228,50.58485360152633,0.11541169881820679,99.158728,20.019025087356567,20,0
/work/data/kinetics400/k400_test/k400_test/test/-pyFr1WZPbM_000032_000042.mp4,cutting watermelon,83,cutting watermelon,83,0.9794676899909973,bookbinding,29,bookbinding,29,0.23772989213466644,0.9765154719352722,30.92986491102323,0.6591337254834286,52.492090603298614,0.2030821591615677,91.85707,19.89696741104126,20,0
/work/data/kinetics400/k400_test/k400_test/test/1yYHLBmC3f4_000003_000013.mp4,climbing a rope,66,climbing a rope,66,0.4273030161857605,tapping guitar,350,bungee jumping,40,0.16426675021648407,0.24427172541618347,31.30056487859632,0.6961782639884849,48.19742908468364,0.3331452012062073,93.774207,18.77805495262146,20,0
/work/data/kinetics400/k400_test/k400_test/test/0GesW7F0eN8_000011_000021.mp4,pushing wheelchair,263,pushing wheelchair,263,0.825761079788208,hammer throw,148,hammer throw,148,0.5454999208450317,0.9863983392715454,32.40271995697151,0.7358678833138204,37.39455463324653,0.27796003222465515,97.061269,8.61003828048706,9,0
/work/data/kinetics400/k400_test/k400_test/test/-dhP2AH0eqI_000141_000151.mp4,checking tires,54,checking tires,54,0.9974356889724731,springboard diving,329,checking tires,54,0.5226472616195679,0.9979124069213867,31.59803608437351,0.6904597190221509,45.00665666594329,0.22918470203876495,91.094708,19.93541669845581,20,0
