video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,side kick,302,0.24867255985736847,baby waking up,10,baby waking up,10,0.4819360077381134,0.17264023423194885,32.345081096724186,0.7438896780627966,37.8941570939429,0.27374833822250366,88.429093,12.350708246231079,10,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,slapping,314,0.22320662438869476,playing recorder,243,playing recorder,243,0.4922896921634674,0.21777337789535522,35.20147357227454,0.8251997567279421,19.630574227792245,0.13359862565994263,99.44981,12.355247497558594,12,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming butterfly stroke,341,0.5037017464637756,bending back,20,bending back,20,0.5353217124938965,0.5168973803520203,34.9071109223688,0.8795031890013387,21.007253133138022,0.058652300387620926,91.756251,15.974604845046997,16,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.9354337453842163,rock scissors paper,279,running on treadmill,281,0.4430086314678192,0.9353640675544739,31.521161554850707,0.8056633919128643,45.81041281467014,0.2182963341474533,94.915508,13.090408325195312,14,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,blasting sand,23,0.9223445057868958,massaging back,193,massaging back,193,0.3858333230018616,0.9317330718040466,31.990699802677156,0.7504064065980491,41.11595486111111,0.2751443088054657,72.927082,9.934529066085815,9,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,hockey stop,154,0.6161854267120361,gargling,137,gargling,137,0.557235062122345,0.6424603462219238,30.897728875141446,0.6936280753759607,52.88195147966594,0.32704776525497437,92.510761,16.919354915618896,18,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,rock climbing,278,0.5642587542533875,riding elephant,269,riding elephant,269,0.3649545907974243,0.5611050128936768,30.81377930696885,0.801940907211122,53.91410873199588,0.18941591680049896,86.381485,18.978229522705078,20,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,dancing charleston,85,0.9475224614143372,doing aerobics,95,doing aerobics,95,0.5238569378852844,0.9409086108207703,36.00700682769159,0.8153486276642209,16.307210530598958,0.0586482509970665,94.755194,15.953923225402832,16,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,sword fighting,345,0.7184332609176636,country line dancing,75,sword fighting,345,0.3841075003147125,0.6431432366371155,34.77693389536241,0.8415738695306526,21.646464391637732,0.09648941457271576,99.961657,19.60203218460083,20,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,cutting nails,81,0.9294514060020447,waxing back,386,waxing back,386,0.22216685116291046,0.9277108907699585,35.126155743553575,0.818582021108907,19.973988086841725,0.14481335878372192,93.944785,19.60381817817688,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Nj3XmZ7YBM_000107_000117.mp4,changing oil,52,changing oil,52,0.9363942742347717,swinging legs,343,swinging legs,343,0.5818793773651123,0.9243411421775818,35.36703315487789,0.8588110315119906,18.896311754014757,0.09565242379903793,93.849749,14.203637838363647,14,0
/work/data/kinetics400/k400_test/k400_test/test/-pBiJnwK2oc_000050_000060.mp4,cleaning toilet,64,cleaning toilet,64,0.9349536299705505,cooking sausages,73,cooking sausages,73,0.4767930209636688,0.9355084300041199,35.080861888367096,0.8089257696780392,20.183392786096643,0.19403862953186035,90.650813,17.775513648986816,18,0
