video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,high kick,152,0.626878559589386,running on treadmill,281,high kick,152,0.3074333369731903,0.3074333369731903,46.72465862413589,0.9986171556346953,1.382338801030417,0.002150351880118251,99.064805,64.11764693260193,20,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,sneezing,319,0.07861203700304031,deadlifting,88,sneezing,319,0.11550403386354446,0.11550403386354446,53.36104516394318,0.9993523364644832,0.2998995709742435,0.0007141561945900321,99.392984,65.17174768447876,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming butterfly stroke,341,0.8337036967277527,hula hooping,159,swimming butterfly stroke,341,0.24635730683803558,0.24635730683803558,50.40508153118262,0.9991457304987923,0.5923415640561073,0.0007198114180937409,98.916923,63.58069705963135,20,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.9070007801055908,bee keeping,17,running on treadmill,281,0.6500366926193237,0.6500366926193237,47.0090676860747,0.9985697549789503,1.2947132491006093,0.003949752077460289,97.736431,65.38493657112122,20,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,blasting sand,23,0.8860569596290588,ski jumping,307,blasting sand,23,0.5637732744216919,0.5637732744216919,51.67858260376394,0.9990785746006765,0.441796326564972,0.004219626076519489,80.313937,62.26118564605713,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,hockey stop,154,0.8291821479797363,playing kickball,237,playing ice hockey,235,0.4354337751865387,0.2551520764827728,47.35039822318334,0.9989362633857386,1.1968522444228573,0.006260845810174942,99.627974,55.44409656524658,20,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,rock climbing,278,0.8760359287261963,planting trees,215,rock climbing,278,0.4937503933906555,0.4937503933906555,43.95000512396894,0.997814327189931,2.6186644261011156,0.00282076932489872,94.914112,55.28631353378296,20,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,dancing charleston,85,0.8896510004997253,air drumming,1,dancing charleston,85,0.302714079618454,0.302714079618454,52.91851257577985,0.9993045832243732,0.33206958796530434,0.00034928033710457385,98.636642,66.80616044998169,20,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,sword fighting,345,0.9026140570640564,playing monopoly,238,sword fighting,345,0.845261812210083,0.845261812210083,55.147563136998826,0.999534253936579,0.1987577387491085,0.0005812768940813839,99.775923,61.30343532562256,20,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,cutting nails,81,0.8792789578437805,dying hair,108,cutting nails,81,0.3983500301837921,0.3983500301837921,57.86010249460776,0.9995656431782262,0.10643148246601399,0.0010320487199351192,99.738058,59.75338435173035,20,0
