video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,high kick,152,0.5886196494102478,shredding paper,300,side kick,302,0.314985066652298,0.12877818942070007,48.8337721593544,0.9991713284819972,0.850556455157779,0.001643060939386487,99.823496,61.34102702140808,20,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,drinking shots,102,0.5065786838531494,ironing,165,drinking,100,0.2085149884223938,0.08989424258470535,55.06138053250122,0.9995619565832471,0.20274133767558367,0.0007340252050198615,99.970019,41.26500654220581,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming butterfly stroke,341,0.9017081260681152,applauding,3,swimming breast stroke,340,0.4420851469039917,0.39738738536834717,51.27012006140289,0.9991208546458196,0.48536488698088154,0.0006772174965590239,99.925083,43.0551073551178,20,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.9559140801429749,news anchoring,202,running on treadmill,281,0.5998838543891907,0.5998838543891907,47.33100094915856,0.998660694718269,1.2022098057746429,0.003487190930172801,99.959914,49.046096086502075,20,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,blasting sand,23,0.45437005162239075,punching person (boxing),259,blasting sand,23,0.29819679260253906,0.29819679260253906,53.614588105492075,0.9993793269286985,0.28289257598645745,0.0037158492486923933,84.494021,53.61154818534851,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,hockey stop,154,0.34913691878318787,stomping grapes,332,ice skating,164,0.26934051513671875,0.20304132997989655,48.27967104036933,0.9992047799950922,0.9663028419626833,0.005628587212413549,97.395463,48.26697850227356,20,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,rock climbing,278,0.7498356699943542,waxing back,386,rock climbing,278,0.46973901987075806,0.46973901987075806,46.682604282454676,0.9987564449908329,1.3957895181730722,0.0016444821376353502,99.04862,48.225483894348145,20,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,dancing charleston,85,0.6513465642929077,wrestling,395,dancing charleston,85,0.2932125926017761,0.2932125926017761,55.449648977750854,0.9996149191560193,0.18540244755109359,0.0002386006963206455,99.897192,50.60505652427673,20,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,sword fighting,345,0.7158374786376953,sneezing,319,sword fighting,345,0.5278039574623108,0.5278039574623108,51.87963976796155,0.9991122737089234,0.421809526584328,0.0006444522878155112,99.968078,44.03890895843506,20,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,cutting nails,81,0.893511176109314,doing laundry,96,cutting nails,81,0.5433578491210938,0.5433578491210938,59.04664380321903,0.9997450920706906,0.08098712472591416,0.0007434992585331202,99.918646,55.81342148780823,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Nj3XmZ7YBM_000107_000117.mp4,changing oil,52,changing oil,52,0.5722560882568359,waxing back,386,changing oil,52,0.25404995679855347,0.25404995679855347,51.50664353794377,0.9993509130381719,0.4596380855329764,0.0006119830068200827,99.342259,53.84493064880371,20,0
/work/data/kinetics400/k400_test/k400_test/test/-pBiJnwK2oc_000050_000060.mp4,cleaning toilet,64,cleaning toilet,64,0.8868868350982666,unloading truck,372,cleaning toilet,64,0.5282145142555237,0.5282145142555237,58.224351754083365,0.9997322325021332,0.09786900780306573,0.0006649720016866922,99.490726,49.17255878448486,20,0
/work/data/kinetics400/k400_test/k400_test/test/-08En2aQklI_000233_000243.mp4,building cabinet,38,building cabinet,38,0.5417375564575195,roller skating,280,building cabinet,38,0.2762291431427002,0.2762291431427002,49.702558561450125,0.9992314173318447,0.6963450692146543,0.0005065041477791965,99.689153,45.745577573776245,20,0
/work/data/kinetics400/k400_test/k400_test/test/-IHwhSActzk_000030_000040.mp4,juggling fire,170,juggling fire,170,0.9688830971717834,wrestling,395,juggling fire,170,0.8441027998924255,0.8441027998924255,57.467100761239124,0.9997427454973324,0.1165119000635489,0.0006926115602254868,99.969212,42.55799627304077,20,0
/work/data/kinetics400/k400_test/k400_test/test/0nE03ePMHI8_000029_000039.mp4,playing clarinet,225,playing ukulele,249,0.39131373167037964,drinking shots,102,singing,304,0.17057159543037415,0.051045745611190796,50.69142727497586,0.999427754517622,0.5545460719438996,0.0004581369867082685,99.925581,48.45957612991333,20,0
/work/data/kinetics400/k400_test/k400_test/test/-8Appls4ZFg_000236_000246.mp4,making pizza,188,making pizza,188,0.863623321056366,skipping rope,311,making pizza,188,0.5763530731201172,0.5763530731201172,46.96073397628621,0.9988437920711642,1.3092029138718793,0.0009465639595873654,99.958364,46.90733885765076,20,0
/work/data/kinetics400/k400_test/k400_test/test/-0tnFi1az8k_000014_000024.mp4,bench pressing,19,bench pressing,19,0.793671727180481,waxing back,386,bench pressing,19,0.5019278526306152,0.5019278526306152,47.68886999081503,0.9990351539705286,1.1071165979617943,0.000654159695841372,99.941304,47.08454775810242,20,0
/work/data/kinetics400/k400_test/k400_test/test/-ek3zFzo560_000537_000547.mp4,answering questions,2,answering questions,2,0.12261557579040527,changing wheel,53,arranging flowers,7,0.14377924799919128,0.010832157917320728,41.54493338697755,0.9983062983713549,4.556034689987171,0.0014469886664301157,93.853478,50.54023027420044,20,0
/work/data/kinetics400/k400_test/k400_test/test/-zWLKc6CjTY_000056_000066.mp4,riding unicycle,275,riding unicycle,275,0.6987825036048889,texting,355,riding unicycle,275,0.45733708143234253,0.45733708143234253,46.921721072806974,0.9990074711110084,1.3210165347826377,0.003778632264584303,99.861791,52.564250230789185,20,0
/work/data/kinetics400/k400_test/k400_test/test/0DqjuG09Xls_000122_000132.mp4,testifying,354,testifying,354,0.8770067691802979,drumming fingers,106,testifying,354,0.5534703135490417,0.5534703135490417,46.11773689134567,0.998824027143266,1.5896688775852876,0.002420143224298954,95.832405,56.27876543998718,20,0
/work/data/kinetics400/k400_test/k400_test/test/0LGDPVwWMhg_000009_000019.mp4,swing dancing,342,swing dancing,342,0.5633482336997986,sniffing,320,swing dancing,342,0.14506176114082336,0.14506176114082336,49.11414853434414,0.9990983045643403,0.797380310303348,0.0005560410209000111,99.963771,50.33589816093445,20,0
