video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,side kick,302,0.3490115702152252,bookbinding,29,side kick,302,0.3076482117176056,0.3514701724052429,52.321411204286115,0.9874714081974585,0.3810125144675926,0.01870352402329445,99.958208,28.365535736083984,20,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,brushing teeth,37,0.2718763053417206,country line dancing,75,clapping,57,0.05447719991207123,0.27237123250961304,52.23977139952566,0.9970698834565944,0.3882426305700232,0.006427044980227947,99.960988,23.097736120224,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming breast stroke,340,0.48838379979133606,paragliding,205,swimming butterfly stroke,341,0.5051989555358887,0.4887074828147888,52.05043189464842,0.9980441577792709,0.4055432445384838,0.0011271137045696378,99.950334,23.16207766532898,20,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.9202583432197571,bee keeping,17,running on treadmill,281,0.2778610587120056,0.9193521738052368,53.83101892180109,0.9979249230671607,0.26914013671875,0.004674446303397417,99.963465,16.051257610321045,20,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,blasting sand,23,0.9127552509307861,swing dancing,342,blasting sand,23,0.44749119877815247,0.9110209941864014,54.482117057648296,0.9983324940044458,0.2316693899782135,0.006254382431507111,88.045479,16.949957609176636,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,ice skating,164,0.7049823999404907,arranging flowers,7,ice skating,164,0.5153717994689941,0.7038265466690063,53.37266415960912,0.9975261661960682,0.2990983001997095,0.015738967806100845,98.511428,16.038310289382935,20,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,riding mule,272,0.6099148392677307,making sushi,190,rock climbing,278,0.5267335176467896,0.6110361814498901,54.28833290308945,0.9988619246821118,0.2422406764403292,0.0024126931093633175,99.965557,19.987950563430786,20,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,singing,304,0.3103559911251068,bee keeping,17,pumping fist,256,0.17852124571800232,0.3104867935180664,51.73839743292842,0.9917366766584055,0.4357532326027199,0.0019255096558481455,99.963909,22.90842866897583,20,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,sword fighting,345,0.5051014423370361,paragliding,205,sword fighting,345,0.18915703892707825,0.5048514604568481,51.91749164136031,0.9973257099280743,0.41814912923177083,0.0023858128115534782,99.959842,23.47585105895996,20,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,cutting nails,81,0.975315511226654,high jump,151,cutting nails,81,0.5697454810142517,0.9743342399597168,52.110746636708825,0.9959789923516693,0.39994999638310186,0.009233550168573856,99.963185,23.314589977264404,20,0
