video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,high kick,152,0.11631371825933456,skiing slalom,310,sword fighting,345,0.07636021077632904,0.11516859382390976,52.371031970057444,0.9878856887077223,0.3766839916087963,0.016653697937726974,99.979314,45.26221466064453,20,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,drinking shots,102,0.15597479045391083,riding mule,272,drinking,100,0.04574103653430939,0.15504595637321472,52.17875819008086,0.9970439027949597,0.3937354713722512,0.006311718374490738,99.980545,39.12080764770508,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming butterfly stroke,341,0.8227313756942749,pumping gas,257,swimming butterfly stroke,341,0.39336127042770386,0.8223927021026611,52.199859275052646,0.9979922254203097,0.39182706705729164,0.001220158883370459,99.961601,39.626587867736816,20,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.998349666595459,bandaging,13,running on treadmill,281,0.787589967250824,0.9982753396034241,53.654350802725375,0.9979222219959254,0.28031431749131946,0.004535459913313389,99.982053,23.20100498199463,20,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,blasting sand,23,0.8535075783729553,passing American football (in game),208,blasting sand,23,0.6966269016265869,0.8571621179580688,54.63837132287505,0.9983926197521924,0.22348234953703705,0.006119980476796627,86.359379,24.292614698410034,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,ice skating,164,0.38764578104019165,presenting weather forecast,254,ice skating,164,0.23593570291996002,0.38757386803627014,53.273922801661485,0.9975432159704679,0.30597650576434277,0.016178453341126442,98.224578,23.053103923797607,20,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,rock climbing,278,0.6885245442390442,assembling computer,8,rock climbing,278,0.5408247709274292,0.6870465874671936,54.401614062068646,0.998899409992158,0.23600377764917696,0.002318308688700199,99.932165,31.408672332763672,20,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,salsa dancing,283,0.29067695140838623,parasailing,206,salsa dancing,283,0.11448884755373001,0.28854554891586304,52.07208854411964,0.9921961168428842,0.4035259851526331,0.0018860276322811842,99.981157,40.68247628211975,20,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,sword fighting,345,0.6744905114173889,paragliding,205,sword fighting,345,0.397041380405426,0.673888087272644,51.98859911282044,0.9974397986306978,0.41135847529658565,0.0022433921694755554,99.980878,39.98701763153076,20,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,cutting nails,81,0.8195205926895142,triple jump,367,cutting nails,81,0.4996906518936157,0.8172098398208618,52.17844445392157,0.9958746544801322,0.393763916015625,0.009826108813285828,99.97768,39.30035758018494,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Nj3XmZ7YBM_000107_000117.mp4,changing oil,52,changing oil,52,0.6921666860580444,bouncing on trampoline,30,changing oil,52,0.3779004216194153,0.6919041275978088,52.779778329621145,0.9978151039776473,0.3428487164532697,0.0018652749713510275,99.810448,39.61472845077515,20,0
/work/data/kinetics400/k400_test/k400_test/test/-pBiJnwK2oc_000050_000060.mp4,cleaning toilet,64,cleaning toilet,64,0.9999990463256836,riding mule,272,cleaning toilet,64,0.9999990463256836,0.9999989867210388,inf,1.0,0.0,0.0004958081990480423,99.920785,40.997217416763306,20,0
/work/data/kinetics400/k400_test/k400_test/test/-08En2aQklI_000233_000243.mp4,building cabinet,38,building cabinet,38,0.6856804490089417,riding mule,272,building cabinet,38,0.22387643158435822,0.6809425950050354,51.08335677273769,0.9958349475415439,0.5066927422417534,0.0024135636631399393,99.945495,40.137139081954956,20,0
/work/data/kinetics400/k400_test/k400_test/test/-IHwhSActzk_000030_000040.mp4,juggling fire,170,juggling fire,170,0.9622829556465149,cutting nails,81,juggling fire,170,0.7603200674057007,0.9618083238601685,52.42374045879543,0.9930766347603944,0.3721399671766493,0.007266872562468052,99.981176,39.86069464683533,20,0
/work/data/kinetics400/k400_test/k400_test/test/0nE03ePMHI8_000029_000039.mp4,playing clarinet,225,auctioning,9,0.5063684582710266,blowing leaves,25,auctioning,9,0.104584701359272,0.5022124648094177,50.84092457609919,0.9965990725156437,0.5357817337601273,0.004169539548456669,99.980848,39.47128510475159,20,0
/work/data/kinetics400/k400_test/k400_test/test/-8Appls4ZFg_000236_000246.mp4,making pizza,188,making pizza,188,0.6450356245040894,swing dancing,342,making pizza,188,0.5116261839866638,0.6453840136528015,51.73994622586255,0.9973428758353672,0.43559786079182633,0.0025894383434206247,99.981776,27.514469385147095,20,0
/work/data/kinetics400/k400_test/k400_test/test/-0tnFi1az8k_000014_000024.mp4,bench pressing,19,bench pressing,19,0.9996716976165771,presenting weather forecast,254,bench pressing,19,0.5933454632759094,0.9996660947799683,51.91599519501267,0.997689817679747,0.4182932354962384,0.0015008843038231134,99.982458,38.976810455322266,20,0
/work/data/kinetics400/k400_test/k400_test/test/-ek3zFzo560_000537_000547.mp4,answering questions,2,arranging flowers,7,0.32810625433921814,eating cake,110,arranging flowers,7,0.14720775187015533,0.3279483914375305,49.88520627082842,0.965224407528177,0.6676667269483024,0.049808673560619354,97.871067,36.90184450149536,20,0
/work/data/kinetics400/k400_test/k400_test/test/-zWLKc6CjTY_000056_000066.mp4,riding unicycle,275,riding unicycle,275,0.7789236903190613,bookbinding,29,riding unicycle,275,0.6053952574729919,0.7798452973365784,53.81252517961962,0.9982495900718795,0.27028867102396514,0.008663246408104897,99.950425,22.721494436264038,20,0
/work/data/kinetics400/k400_test/k400_test/test/0DqjuG09Xls_000122_000132.mp4,testifying,354,testifying,354,0.9888968467712402,water sliding,384,testifying,354,0.8078972697257996,0.9892054796218872,52.261317977520854,0.9973248614943543,0.3863212193080357,0.006610901560634375,97.751351,24.89832305908203,20,0
