video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,crying,79,0.15117770433425903,breading or breadcrumbing,33,tai chi,346,0.1304517686367035,0.14557714760303497,52.65923913248991,0.9896293272401266,0.3524978298611111,0.012956966646015644,99.519746,11.48401689529419,20,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,cracking neck,76,0.2713421881198883,riding mule,272,cracking neck,76,0.20332686603069305,0.27141234278678894,51.467416966009765,0.9966973137845049,0.46380845811631943,0.006829600781202316,99.562379,6.033863067626953,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming breast stroke,340,0.39566758275032043,skateboarding,306,swimming breast stroke,340,0.3528732657432556,0.39427217841148376,51.941698440041,0.9983393814429127,0.4158249240451389,0.0024276692420244217,99.540559,5.797405958175659,20,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.7327919602394104,breading or breadcrumbing,33,running on treadmill,281,0.417584627866745,0.7176834940910339,52.70977787582966,0.9976796775296932,0.3484195963541667,0.005892936140298843,99.607542,5.661874055862427,20,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,pole vault,253,0.10309665650129318,picking fruit,214,pole vault,253,0.07450137287378311,0.2733074724674225,53.283112421033266,0.9985818359411381,0.30532974763979664,0.0063361856155097485,93.593523,5.51602578163147,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,playing ice hockey,235,0.2828614115715027,bookbinding,29,playing ice hockey,235,0.26933419704437256,0.2813265025615692,53.16694733824819,0.9981203716974156,0.3136069126724764,0.016667703166604042,98.756393,5.201158285140991,20,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,rock climbing,278,0.462789922952652,water skiing,383,rock climbing,278,0.6925889253616333,0.6309650540351868,53.55576057825306,0.9987775132206071,0.2867505787037037,0.0029097790829837322,99.658352,4.880866050720215,20,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,dancing ballet,84,0.33446550369262695,checking tires,54,shaking hands,288,0.20720826089382172,0.2663375437259674,51.578132230238126,0.9913183034388118,0.4521339699074074,0.004048429429531097,99.607781,5.05172872543335,20,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,reading book,264,0.4381314814090729,tossing salad,362,reading book,264,0.29904621839523315,0.4539010226726532,51.808287400791286,0.9979481648348957,0.42879688404224536,0.002265327610075474,99.595373,6.446534872055054,20,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,cutting nails,81,0.9873170256614685,throwing discus,358,cutting nails,81,0.8703047037124634,0.718829333782196,50.99122847390304,0.9958927632479602,0.5175561975549768,0.012068910524249077,99.53486,6.019183874130249,20,0
