video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,smoking,316,0.13679446280002594,washing hair,381,washing hair,381,0.9934121966362,0.13679446280002594,46.833190505789624,0.9796639133366802,1.3482216917438272,0.038174040615558624,99.432332,3.9774153232574463,2,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,waxing eyebrows,388,0.12280164659023285,skipping rope,311,skipping rope,311,0.6752909421920776,0.12280164659023285,48.98801097489108,0.9910739157552424,0.8208792227285879,0.008507397957146168,99.580728,4.187668561935425,3,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming butterfly stroke,341,0.7859488725662231,getting a haircut,138,getting a haircut,138,0.9413560628890991,0.7859488725662231,44.86611882152098,0.9844230376222181,2.1206474699797453,0.005810845643281937,99.199337,4.011112689971924,6,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.9111183881759644,writing,396,writing,396,0.7579891085624695,0.9111183881759644,43.70088739388863,0.9806664710206863,2.7732666015625,0.029116014018654823,99.490804,1.219377040863037,4,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,blasting sand,23,0.5835661888122559,swing dancing,342,swing dancing,342,0.6094383001327515,0.5835661888122559,43.47393345921767,0.9756323376414303,2.9220457743282497,0.053382668644189835,92.447167,0.9433882236480713,4,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,playing ice hockey,235,0.4940851628780365,yoga,398,yoga,398,0.8643636107444763,0.4940851628780365,44.274659551374,0.9792994147022549,2.4300455019970952,0.07550225406885147,98.23961,1.0329725742340088,3,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,rock climbing,278,0.6560006141662598,waxing eyebrows,388,waxing eyebrows,388,0.6623334884643555,0.6560006141662598,43.412714433459946,0.9827615274643502,2.963527199074074,0.025892874225974083,99.52671,1.2310283184051514,4,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,pumping fist,256,0.16408607363700867,arm wrestling,6,arm wrestling,6,0.5989508032798767,0.16408607363700867,45.98767065199919,0.9741788170851754,1.637997730396412,0.0038698511198163033,99.585229,4.17614483833313,5,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,sword fighting,345,0.15712110698223114,washing hair,381,washing hair,381,0.9294771552085876,0.15712110698223114,48.52711495062493,0.9922693928314937,0.9127857801649305,0.005201412830501795,99.575552,2.14056396484375,3,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,petting cat,213,0.4898730218410492,tap dancing,349,tap dancing,349,0.6457816958427429,0.4898730218410492,48.82241585050501,0.9900799012669099,0.8527834743923611,0.013884427025914192,99.587765,2.1479275226593018,3,0
/work/data/kinetics400/k400_test/k400_test/test/-Nj3XmZ7YBM_000107_000117.mp4,changing oil,52,changing oil,52,0.9958356618881226,throwing discus,358,throwing discus,358,0.9763390421867371,0.9958356618881226,47.283302632508885,0.9887980717158456,1.2154863823784723,0.007444421760737896,99.571785,2.9300456047058105,4,0
/work/data/kinetics400/k400_test/k400_test/test/-pBiJnwK2oc_000050_000060.mp4,cleaning toilet,64,cleaning toilet,64,0.9969109296798706,riding mechanical bull,270,riding mechanical bull,270,0.701321542263031,0.9969109296798706,44.67930837276593,0.9741028059320953,2.2138567889178242,0.04199256747961044,99.42376,3.954667806625366,7,0
/work/data/kinetics400/k400_test/k400_test/test/-08En2aQklI_000233_000243.mp4,building cabinet,38,building cabinet,38,0.7317425608634949,cartwheeling,45,cartwheeling,45,0.6224328279495239,0.7317425608634949,46.7406185438524,0.986810366668906,1.3772681568287037,0.0044050975702703,99.577901,2.5692827701568604,4,0
/work/data/kinetics400/k400_test/k400_test/test/-IHwhSActzk_000030_000040.mp4,juggling fire,170,juggling fire,170,0.9490692019462585,vault,376,vault,376,0.7271509170532227,0.9490692019462585,48.07136904197513,0.985641834411764,1.0137793872974536,0.012407394126057625,99.602808,2.539080858230591,4,0
/work/data/kinetics400/k400_test/k400_test/test/0nE03ePMHI8_000029_000039.mp4,playing clarinet,225,singing,304,0.12343927472829819,spraying,328,spraying,328,0.6413049697875977,0.12343927472829819,46.92948337480898,0.9886999771623592,1.318657543041088,0.008910845965147018,99.615728,2.5682408809661865,4,0
/work/data/kinetics400/k400_test/k400_test/test/-8Appls4ZFg_000236_000246.mp4,making pizza,188,making pizza,188,0.6959134340286255,hammer throw,148,hammer throw,148,0.6320051550865173,0.6959134340286255,44.34626108166231,0.9832845162514277,2.3903101338715564,0.015451701357960701,99.48542,1.1838576793670654,3,0
/work/data/kinetics400/k400_test/k400_test/test/-0tnFi1az8k_000014_000024.mp4,bench pressing,19,bench pressing,19,0.9838649034500122,hammer throw,148,hammer throw,148,0.5735428333282471,0.9838649034500122,47.10949294493946,0.9903955281364804,1.265118091724537,0.0032069943845272064,99.615343,2.5609793663024902,4,0
/work/data/kinetics400/k400_test/k400_test/test/-ek3zFzo560_000537_000547.mp4,answering questions,2,answering questions,2,0.329531192779541,riding mechanical bull,270,riding mechanical bull,270,0.5207869410514832,0.329531192779541,45.40246617144724,0.9458053534848279,1.8742768614969136,0.078742116689682,97.226409,1.046760082244873,3,0
/work/data/kinetics400/k400_test/k400_test/test/-zWLKc6CjTY_000056_000066.mp4,riding unicycle,275,riding unicycle,275,0.8793984651565552,snowkiting,323,snowkiting,323,0.679402768611908,0.8793984651565552,44.768920014053194,0.9826476329690649,2.1686444716775597,0.060667768120765686,99.143489,0.8885364532470703,3,0
/work/data/kinetics400/k400_test/k400_test/test/0DqjuG09Xls_000122_000132.mp4,testifying,354,testifying,354,0.9972528219223022,country line dancing,75,country line dancing,75,0.7368837594985962,0.9972528219223022,41.04471769529109,0.9594552929668647,5.112208891369048,0.06700068712234497,97.275987,1.2461185455322266,6,0
/work/data/kinetics400/k400_test/k400_test/test/0LGDPVwWMhg_000009_000019.mp4,swing dancing,342,dancing charleston,85,0.36365434527397156,making jewelry,187,making jewelry,187,0.9092411994934082,0.36365434527397156,46.957485007484706,0.9905790651857522,1.3101826985677083,0.0026035273913294077,99.578786,2.5235280990600586,4,0
/work/data/kinetics400/k400_test/k400_test/test/-pyFr1WZPbM_000032_000042.mp4,cutting watermelon,83,cutting watermelon,83,0.9870719909667969,pull ups,255,pull ups,255,0.5225211381912231,0.9870719909667969,45.1448153820722,0.9807527788149264,1.9888353135850694,0.021386561915278435,99.485492,4.042493104934692,7,0
/work/data/kinetics400/k400_test/k400_test/test/1yYHLBmC3f4_000003_000013.mp4,climbing a rope,66,climbing a rope,66,0.9071027040481567,disc golfing,92,disc golfing,92,0.6644467115402222,0.9071027040481567,43.2479070663483,0.9722441480551656,3.078149112654321,0.06566603481769562,99.42198,1.1815896034240723,4,0
/work/data/kinetics400/k400_test/k400_test/test/0GesW7F0eN8_000011_000021.mp4,pushing wheelchair,263,pushing wheelchair,263,0.720925509929657,snowkiting,323,snowkiting,323,0.9282286167144775,0.720925509929657,43.320420253566596,0.9687056745941639,3.0271806278935185,0.0686011090874672,99.486572,1.2184498310089111,4,0
/work/data/kinetics400/k400_test/k400_test/test/-dhP2AH0eqI_000141_000151.mp4,checking tires,54,checking tires,54,0.933311939239502,playing didgeridoo,229,playing didgeridoo,229,0.9925036430358887,0.933311939239502,49.099115220207985,0.9897630285202288,0.800145263671875,0.009368560276925564,99.616081,2.0592575073242188,3,0
/work/data/kinetics400/k400_test/k400_test/test/14Z2DC05cIg_000019_000029.mp4,playing kickball,237,playing tennis,246,0.21909964084625244,waxing back,386,waxing back,386,0.6531624794006348,0.21909964084625244,46.84685775937727,0.9884001365495261,1.3439855052806713,0.005026267375797033,99.546873,2.552225112915039,4,0
/work/data/kinetics400/k400_test/k400_test/test/1DzvlrKhmZI_000002_000012.mp4,shaking head,289,sign language interpreting,303,0.21610622107982635,jumpstyle dancing,173,jumpstyle dancing,173,0.5143262147903442,0.21610622107982635,39.172708333238404,0.9369940116607575,7.8670068359375,0.17073893547058105,92.462653,1.2891077995300293,7,0
/work/data/kinetics400/k400_test/k400_test/test/2UFYQtLCPZ8_000136_000146.mp4,massaging person's head,196,massaging person's head,196,0.966809868812561,country line dancing,75,country line dancing,75,0.6987853050231934,0.966809868812561,43.59483549120518,0.9816277291548658,2.841821605541088,0.006596140097826719,99.472757,3.957526445388794,7,0
/work/data/kinetics400/k400_test/k400_test/test/1LWUlv7twOg_000057_000067.mp4,answering questions,2,writing,396,0.6836121082305908,hitting baseball,153,hitting baseball,153,0.575143039226532,0.6836121082305908,41.002909841033386,0.9613754693083789,5.161659794560185,0.062161825597286224,97.900442,1.6151938438415527,6,0
/work/data/kinetics400/k400_test/k400_test/test/0YhNlD9Z5pw_000016_000026.mp4,shaking head,289,shredding paper,300,0.11186375468969345,motorcycling,199,motorcycling,199,0.5682582855224609,0.11186375468969345,45.01033541771897,0.9776620096267208,2.051383316186557,0.03549332916736603,99.474043,1.0259344577789307,3,0
/work/data/kinetics400/k400_test/k400_test/test/0hu29nUZELQ_000001_000011.mp4,mowing lawn,201,mowing lawn,201,0.9606732726097107,grooming dog,145,grooming dog,145,0.6608415842056274,0.9606732726097107,43.016285798052735,0.9918129740354723,3.2467719184027777,0.01442830078303814,99.569384,0.9923679828643799,4,0
/work/data/kinetics400/k400_test/k400_test/test/11xzcHo4Ts8_000000_000010.mp4,tickling,359,garbage collecting,136,0.14332306385040283,ski jumping,307,ski jumping,307,0.7528656721115112,0.14332306385040283,44.39934531560808,0.9835221098885553,2.361270978009259,0.03320103883743286,99.467344,0.960993766784668,3,0
/work/data/kinetics400/k400_test/k400_test/test/0vJAFezLPhI_000021_000031.mp4,snowmobiling,324,snowmobiling,324,0.9666036367416382,high jump,151,high jump,151,0.5270767211914062,0.9666036367416382,47.75726050018305,0.9887165336275323,1.0898188386140046,0.022104427218437195,99.610877,2.530734062194824,4,0
/work/data/kinetics400/k400_test/k400_test/test/0ygbcm02tLs_000002_000012.mp4,playing organ,239,playing organ,239,0.9989275932312012,throwing discus,358,throwing discus,358,0.6486837267875671,0.9989275932312012,43.57917025653016,0.9380616375467647,2.852090717833719,0.09786529093980789,97.637217,1.1827552318572998,5,0
/work/data/kinetics400/k400_test/k400_test/test/-wwCJVLbKFI_000108_000118.mp4,bending back,20,bending back,20,0.6591634154319763,playing drums,230,playing drums,230,0.5286490321159363,0.6591634154319763,40.34511426533718,0.9749546292745842,6.005773292824074,0.02234327606856823,98.691232,2.2101173400878906,6,0
