video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,high kick,152,0.057954978197813034,breading or breadcrumbing,33,breading or breadcrumbing,33,0.6779289841651917,0.057954978197813034,41.1224665766435,0.9339072035990281,5.021502730758102,0.11417178064584732,97.819203,18.19719886779785,6,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,sharpening pencil,291,0.031372323632240295,riding mule,272,riding mule,272,0.5365764498710632,0.031372323632240295,45.17206407143806,0.9787907002772748,1.9763959429705584,0.021207652986049652,99.986664,15.65730094909668,5,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming breast stroke,340,0.29082098603248596,driving tractor,104,driving tractor,104,0.5411795973777771,0.29082098603248596,44.304250640653215,0.9859124845385713,2.4135444234212238,0.0054655722342431545,99.619892,19.838836908340454,8,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.129001185297966,tai chi,346,tai chi,346,0.5248986482620239,0.129001185297966,39.62966872550525,0.9559403413437499,7.0813080647786455,0.061090148985385895,98.360306,5.946207523345947,7,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,extinguishing fire,121,0.09762199968099594,passing American football (not in game),209,passing American football (not in game),209,0.5258023142814636,0.09762199968099594,40.69192218161974,0.9519166196897176,5.544828814338235,0.08161668479442596,80.939239,5.998929023742676,7,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,playing ice hockey,235,0.14411626756191254,strumming guitar,335,strumming guitar,335,0.5463692545890808,0.14411626756191254,40.9220243587733,0.9708288601587073,5.258694299768519,0.048613838851451874,95.622841,11.361300230026245,11,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,diving cliff,93,0.19121406972408295,hurdling,160,hurdling,160,0.5949273109436035,0.19121406972408295,42.76952440206763,0.9799369964444938,3.4365915718235596,0.02328501269221306,98.546705,6.374324560165405,4,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,drumming fingers,106,0.5916608572006226,reading newspaper,265,reading newspaper,265,0.6110204458236694,0.5916608572006226,42.41147359459574,0.9325711040561696,3.731925809507017,0.019615108147263527,98.833927,26.01987886428833,11,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,opening present,204,0.5102936029434204,tai chi,346,tai chi,346,0.545912504196167,0.5102936029434204,43.106800839125114,0.972619556986262,3.1798034554940684,0.022060468792915344,99.984828,18.505499839782715,6,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,petting cat,213,0.15655076503753662,disc golfing,92,disc golfing,92,0.5541195869445801,0.15655076503753662,45.45336720722481,0.9778493505804642,1.8524378243905526,0.03792249411344528,99.280907,14.543744802474976,4,0
